step,update,sps,ep_return,ep_len,gates,collision_rate,completion_rate,difficulty,speed_cap,time_penalty,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var,reward_scale
65536,1,15224.5,-3.241,82.2,2.05,0.993,0.0,0.0,0.5,0,-0.00296,1.16013,2.7551,0.00312,0.0285,-0.1028,2.0545
131072,2,9933.0,-2.956,104.8,1.95,0.988,0.0,0.0,0.5,0,-0.00151,0.66801,2.7542,0.00157,0.0123,-0.0026,2.1934
196608,3,10892.0,-3.256,107.1,2.33,0.976,0.0,0.0,0.5,0,-0.0019,0.54701,2.7561,0.00207,0.0156,0.2398,2.2328
262144,4,11201.2,-3.078,108.2,1.88,0.989,0.0,0.0,0.5,0,-0.00226,0.42713,2.7585,0.00248,0.021,0.4225,2.2333
327680,5,11543.8,-3.162,114.0,1.78,0.966,0.0,0.0,0.5,0,-0.00236,0.34244,2.7583,0.00226,0.0182,0.5625,2.2839
393216,6,12522.8,-3.621,130.5,2.26,0.954,0.0,0.0,0.5,0,-0.00277,0.26005,2.7572,0.00306,0.0303,0.6702,2.3671
458752,7,10798.4,-3.693,137.3,2.12,0.922,0.0,0.0,0.5,0,-0.00308,0.20096,2.7514,0.00309,0.031,0.7275,2.4508
524288,8,12467.1,-3.982,151.8,1.87,0.903,0.0,0.0,0.5,0,-0.00297,0.1547,2.7437,0.00327,0.0313,0.7951,2.5579
589824,9,10285.6,-4.852,189.7,1.86,0.818,0.0,0.0,0.5,0,-0.00356,0.11415,2.736,0.00362,0.0369,0.8433,2.6917
655360,10,12000.9,-5.985,211.2,1.62,0.784,0.0,0.0,0.5,0,-0.00419,0.1064,2.7274,0.00415,0.0466,0.8708,2.835
720896,11,11826.8,-6.685,238.7,2.32,0.704,0.0,0.0,0.5,0,-0.00392,0.08318,2.7185,0.00387,0.0394,0.9035,2.9723
786432,12,12655.3,-6.617,254.9,1.93,0.673,0.0,0.0,0.5,0,-0.00444,0.08023,2.7107,0.00398,0.0438,0.9109,3.1347
851968,13,12669.6,-7.653,271.3,2.3,0.65,0.0,0.0,0.5,0,-0.00429,0.07284,2.7016,0.00368,0.0379,0.9232,3.2652
