step,update,sps,ep_return,ep_len,gates,collision_rate,completion_rate,difficulty,speed_cap,time_penalty,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var,reward_scale
4096,1,64166.7,,,,,0.0,0.0,1.0,0,-0.01095,2.84553,2.7592,0.00923,0.1337,-0.0321,2.8788
8192,2,55769.2,-25.84,109.0,0.0,1.0,0.0,0.0,1.0,0,-0.00806,0.17507,2.7595,0.00685,0.0914,0.2062,4.1864
12288,3,58408.2,8.501,149.0,3.0,0.0,0.5,0.0,1.0,0,-0.00616,0.09244,2.754,0.00566,0.0743,0.2098,4.2571
16384,4,35600.2,-27.912,200.0,0.34,0.0,0.016,0.0,1.0,0,-0.00713,0.08957,2.7501,0.00561,0.0769,0.2166,4.6157
20480,5,26293.9,-22.904,200.0,1.0,0.0,0.015,0.0,1.0,0,-0.00542,0.10047,2.7443,0.00631,0.081,0.0643,4.4436
24576,6,40209.9,3.402,165.6,2.57,0.0,0.097,0.0,1.0,0,-0.00731,0.14394,2.7399,0.00717,0.099,0.2725,4.328
28672,7,41898.9,-15.93,198.6,1.43,0.0,0.133,0.0,1.0,0,-0.00697,0.17174,2.7356,0.00745,0.1003,0.2095,4.5647
32768,8,43243.6,16.374,100.9,2.94,0.0,0.233,0.0,1.0,0,-0.00538,0.25685,2.7321,0.00584,0.0769,0.2847,4.6808
36864,9,78712.6,10.186,145.0,2.93,0.0,0.345,0.0,1.0,0,-0.00832,0.31288,2.73,0.00868,0.1135,0.2072,4.7639
40960,10,52894.7,7.189,143.8,2.67,0.0,0.465,0.0,1.0,0,-0.00706,0.31192,2.7266,0.00711,0.0984,0.3147,4.9742
45056,11,50795.2,18.689,93.3,3.0,0.0,0.695,0.0,1.0,0,-0.00717,0.32031,2.7266,0.00657,0.0908,0.4728,5.24
49152,12,55833.5,20.537,81.3,3.0,0.0,0.905,0.0,1.0,0,-0.00777,0.29029,2.7264,0.0085,0.1163,0.5143,5.4357
53248,13,54052.8,21.676,72.0,3.0,0.0,0.955,0.0,1.0,0,-0.00584,0.29519,2.7213,0.00548,0.0696,0.4932,5.6112
57344,14,57562.4,23.085,65.0,3.0,0.0,1.0,0.0,1.0,0,-0.00812,0.29586,2.7145,0.00794,0.1044,0.4442,5.7814
61440,15,48074.9,23.747,60.3,3.0,0.0,1.0,0.0,1.0,0,-0.00501,0.29339,2.7086,0.00557,0.0712,0.2791,5.9093
65536,16,45705.6,24.116,58.6,3.0,0.0,1.0,0.0,1.0,0,-0.0062,0.27165,2.7047,0.00615,0.084,-0.0037,6.0269
69632,17,48627.9,24.408,56.2,3.0,0.0,1.0,0.0,1.0,0,-0.00476,0.21585,2.7012,0.00532,0.0657,0.0233,6.1014
73728,18,33633.7,24.495,56.1,3.0,0.0,1.0,0.0,1.0,0,-0.00436,0.18741,2.6973,0.00511,0.0665,-0.2213,6.1458
77824,19,29266.2,24.78,53.7,3.0,0.0,1.0,0.0,1.0,0,-0.00405,0.13969,2.6891,0.00532,0.0666,-0.1266,6.1841
81920,20,34570.9,25.045,52.8,3.0,0.0,1.0,0.0,1.0,0,-0.00689,0.10129,2.6809,0.00721,0.0942,-0.2683,6.2108
86016,21,51308.9,24.694,53.1,3.0,0.0,1.0,0.0,1.0,0,-0.00554,0.07216,2.6718,0.00665,0.0863,-0.2045,6.2194
90112,22,33198.5,25.231,51.7,3.0,0.0,1.0,0.0,1.0,0,-0.00775,0.06243,2.6642,0.0074,0.1033,-0.1859,6.2399
94208,23,36432.8,25.335,49.8,3.0,0.0,1.0,0.0,1.0,0,-0.00571,0.04569,2.6569,0.00581,0.0776,-0.0107,6.2492
98304,24,52045.5,25.864,48.0,3.0,0.0,1.0,0.0,1.0,0,-0.00486,0.04385,2.6488,0.00492,0.0583,0.1324,6.2638
102400,25,39438.9,25.869,47.9,3.0,0.0,1.0,0.0,1.0,0,-0.0061,0.03735,2.6439,0.00693,0.095,0.3345,6.2678
106496,26,61908.3,25.781,49.1,3.0,0.0,1.0,0.0,1.0,0,-0.00565,0.03435,2.6394,0.00673,0.0897,0.4389,6.2651
110592,27,53498.3,25.958,47.7,3.0,0.0,1.0,0.0,1.0,0,-0.0064,0.02786,2.6317,0.00564,0.072,0.5702,6.2654
114688,28,40371.5,26.043,47.5,3.0,0.0,1.0,0.0,1.0,0,-0.00547,0.02601,2.6218,0.00567,0.0746,0.617,6.2605
118784,29,45894.5,26.55,46.5,3.0,0.0,1.0,0.0,1.0,0,-0.0051,0.02284,2.6121,0.0058,0.0768,0.6888,6.2651
122880,30,29477.9,26.436,46.4,3.0,0.0,1.0,0.0,1.0,0,-0.00559,0.02188,2.6041,0.00674,0.0858,0.7203,6.2602
126976,31,31717.1,26.331,46.5,3.0,0.0,1.0,0.0,1.0,0,-0.00476,0.0229,2.5981,0.00593,0.0772,0.6929,6.2542
131072,32,65284.1,26.685,45.9,3.0,0.0,1.0,0.0,1.0,0,-0.00714,0.01911,2.5916,0.00762,0.1025,0.7452,6.2477
