step,update,sps,ep_return,ep_len,gates,collision_rate,completion_rate,difficulty,speed_cap,time_penalty,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var,reward_scale
32768,1,23320.7,-3.334,81.4,2.0,0.995,0.0,0.0,0.5,0,-0.00358,1.34706,2.7571,0.00355,0.0338,-0.0099,1.9968
65536,2,22655.4,-2.413,105.6,1.94,0.997,0.0,0.0,0.5,0,-0.00221,0.67125,2.7561,0.00229,0.0202,0.123,2.1643
98304,3,24575.9,-2.886,101.9,1.79,0.99,0.0,0.0,0.5,0,-0.00276,0.49428,2.7565,0.00283,0.0273,0.3723,2.2353
131072,4,25769.7,-3.422,114.6,1.91,0.961,0.0,0.0,0.5,0,-0.00238,0.36404,2.7549,0.00228,0.0216,0.5304,2.3549
163840,5,23644.1,-3.441,109.9,1.73,0.964,0.0,0.0,0.5,0,-0.00279,0.30776,2.751,0.00262,0.0217,0.6375,2.4581
196608,6,24948.1,-4.269,122.1,1.96,0.931,0.0,0.0,0.5,0,-0.00317,0.21651,2.7483,0.00265,0.0251,0.742,2.6324
229376,7,25964.3,-3.772,131.9,1.78,0.893,0.0,0.0,0.5,0,-0.00383,0.1608,2.7447,0.00286,0.0264,0.8089,2.7792
262144,8,21807.1,-4.624,152.8,2.26,0.822,0.0,0.0,0.5,0,-0.00497,0.13689,2.7391,0.00385,0.0428,0.8426,2.9103
294912,9,23828.5,-5.82,162.6,1.58,0.781,0.0,0.0,0.5,0,-0.00469,0.11196,2.732,0.00337,0.0337,0.8736,3.1177
327680,10,19227.9,-6.377,192.5,2.53,0.733,0.0,0.0,0.5,0,-0.00518,0.11607,2.7264,0.00432,0.05,0.8855,3.3632
360448,11,15161.8,-8.115,210.8,2.35,0.738,0.0,0.0,0.5,0,-0.00462,0.10966,2.7237,0.00316,0.031,0.8987,3.6073
393216,12,20102.2,-8.023,201.4,1.58,0.684,0.0,0.0,0.5,0,-0.00464,0.09567,2.7214,0.00333,0.0337,0.92,3.8136
