frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
56036,00056036.jpg,1785599389338337792,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56037,00056037.jpg,1785599389504252416,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56038,00056038.jpg,1785599389507594752,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56039,00056039.jpg,1785599389512412160,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56040,00056040.jpg,1785599389517331200,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56041,00056041.jpg,1785599389520489216,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56042,00056042.jpg,1785599389527194112,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56043,00056043.jpg,1785599389556134400,9.81,89.98,0.02,21,87,1131.5,0.51,1,0.02
56044,00056044.jpg,1785599389588087552,10.846,89.978,0.022,21,87,1131.7,0.52,1,0.022
56045,00056045.jpg,1785599389620404992,9.522,89.981,0.019,18,85,1112.9,0.49,1,0.019
56046,00056046.jpg,1785599389655277312,9.35,89.979,0.021,20,95,1169.6,0.48,1,0.021
56047,00056047.jpg,1785599389687079936,9.348,89.98,0.02,19,91,1158.2,0.46,1,0.02
56048,00056048.jpg,1785599389720399104,9.664,89.984,0.016,20,90,1193.4,0.63,1,0.016
56049,00056049.jpg,1785599389754450176,9.809,89.985,0.015,27,103,1233.2,0.75,1,0.015
56050,00056050.jpg,1785599389788841472,9.869,0.038,89.962,29,104,1236.1,0.98,1,-0.038
56051,00056051.jpg,1785599389820559360,9.892,0.191,89.809,31,105,1216.7,1.25,1,-0.191
56052,00056052.jpg,1785599389855594496,9.9,1.031,88.969,24,88,1113.2,1.07,1,-1.031
56053,00056053.jpg,1785599389887272704,9.901,1.344,88.656,21,78,1017.4,1.37,1,-1.344
56054,00056054.jpg,1785599389921425408,9.9,0.394,89.606,19,76,994.9,1.68,1,-0.394
56055,00056055.jpg,1785599389955698944,9.898,0.395,89.605,23,95,1094.7,1.86,1,-0.395
56056,00056056.jpg,1785599389987837696,9.896,0.401,89.599,23,95,1072.1,2.2,1,-0.401
56057,00056057.jpg,1785599390021137920,9.894,1.204,88.796,18,75,956.8,1.87,1,-1.204
56058,00056058.jpg,1785599390055492608,9.891,2.379,87.621,16,76,995.3,2.39,1,-2.379
56059,00056059.jpg,1785599390087724800,9.889,2.163,87.837,19,78,976.9,2.19,1,-2.163
56060,00056060.jpg,1785599390121396736,9.887,89.988,0.012,25,91,1047.2,3.52,1,0.012
56061,00056061.jpg,1785599390153963520,9.885,89.988,0.012,28,112,1173.8,3.46,1,0.012
56062,00056062.jpg,1785599390187122176,9.883,89.989,0.011,21,80,921.4,4.42,1,0.011
56063,00056063.jpg,1785599390221036288,9.881,2.037,87.963,24,87,993.0,3.46,1,-2.037
56064,00056064.jpg,1785599390254335488,9.879,2.026,87.974,21,103,1145.1,2.82,1,-2.026
56065,00056065.jpg,1785599390288249088,9.878,0.91,89.09,18,79,983.0,3.5,1,-0.91
56066,00056066.jpg,1785599390320343296,9.876,89.99,0.01,18,84,966.1,4.7,1,0.01
56067,00056067.jpg,1785599390354168320,9.875,1.925,88.075,20,94,1095.7,2.48,1,-1.925
56068,00056068.jpg,1785599390389073152,9.874,89.99,0.01,25,94,1028.5,5.09,1,0.01
56069,00056069.jpg,1785599390420990720,9.873,89.991,0.009,16,78,984.9,4.57,1,0.009
56070,00056070.jpg,1785599390454982144,9.872,89.991,0.009,32,114,1137.7,4.81,1,0.009
56071,00056071.jpg,1785599390487382016,9.871,0.734,89.266,18,86,999.9,4.01,1,-0.734
56072,00056072.jpg,1785599390521140736,9.87,89.992,0.008,19,76,896.0,5.55,1,0.008
56073,00056073.jpg,1785599390554415616,9.87,89.992,0.008,27,122,1225.9,3.49,1,0.008
56074,00056074.jpg,1785599390587927040,9.869,89.992,0.008,17,80,903.2,3.98,1,0.008
56075,00056075.jpg,1785599390620852736,9.869,89.992,0.008,15,82,954.8,5.23,1,0.008
