frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
70030,00070030.jpg,1785599855789920000,9.81,0.034,89.966,28,92,1177.3,0.56,1,89.966
70031,00070031.jpg,1785599855906755328,9.81,0.034,89.966,27,92,1177.3,0.56,1,89.966
70032,00070032.jpg,1785599855911058688,9.81,0.031,89.969,28,94,1189.3,0.55,1,89.969
70033,00070033.jpg,1785599855913170432,9.81,0.034,89.966,28,93,1183.3,0.55,1,89.966
70034,00070034.jpg,1785599855921002752,9.81,0.034,89.966,28,93,1183.3,0.55,1,89.966
70035,00070035.jpg,1785599855956512768,9.81,0.034,89.966,28,94,1189.3,0.56,1,89.966
70036,00070036.jpg,1785599855992154624,9.81,0.034,89.966,28,94,1189.3,0.56,1,89.966
70037,00070037.jpg,1785599856020265728,9.802,0.05,89.95,28,94,1189.7,0.51,1,89.95
70038,00070038.jpg,1785599856054385408,9.431,0.057,89.943,30,100,1231.3,0.43,1,89.943
70039,00070039.jpg,1785599856087569408,9.324,0.049,89.951,28,101,1241.4,0.43,1,89.951
70040,00070040.jpg,1785599856123269120,9.531,0.052,89.948,28,96,1207.0,0.48,1,89.948
70041,00070041.jpg,1785599856155141888,9.745,0.049,89.951,25,100,1223.9,0.69,1,89.951
70042,00070042.jpg,1785599856192209152,9.846,0.068,89.932,23,95,1197.6,0.96,1,89.932
70043,00070043.jpg,1785599856223087616,9.883,0.17,89.83,23,105,1245.6,0.84,1,89.83
70044,00070044.jpg,1785599856254844416,9.896,0.205,89.795,25,97,1151.1,1.28,1,89.795
70045,00070045.jpg,1785599856291691776,9.901,0.052,89.948,20,86,1127.8,1.73,1,89.948
70046,00070046.jpg,1785599856320039936,9.901,0.046,89.954,14,72,1009.9,2.21,1,89.954
70047,00070047.jpg,1785599856354975488,9.899,1.627,88.373,20,89,1051.7,1.61,1,88.373
70048,00070048.jpg,1785599856386903808,9.897,0.043,89.957,26,104,1127.9,2.41,1,89.957
70049,00070049.jpg,1785599856422355456,9.895,0.466,89.534,19,77,970.1,2.63,1,89.534
70050,00070050.jpg,1785599856455622912,9.893,0.663,89.337,17,84,1042.4,2.42,1,89.337
70051,00070051.jpg,1785599856492324608,9.89,0.035,89.965,19,84,992.2,3.27,1,89.965
70052,00070052.jpg,1785599856524242176,9.888,0.039,89.961,23,79,956.6,3.34,1,89.961
70053,00070053.jpg,1785599856554932992,9.886,0.042,89.958,27,113,1197.2,3.52,1,89.958
70054,00070054.jpg,1785599856591990272,9.884,0.041,89.959,23,88,994.0,3.5,1,89.959
70055,00070055.jpg,1785599856621043968,9.882,0.037,89.963,24,80,917.6,4.05,1,89.963
70056,00070056.jpg,1785599856653443072,9.88,0.036,89.964,21,92,1086.0,3.64,1,89.964
70057,00070057.jpg,1785599856687511296,9.879,0.033,89.967,22,95,1102.7,3.88,1,89.967
70058,00070058.jpg,1785599856723269888,9.877,2.018,87.982,17,64,851.8,2.81,1,87.982
70059,00070059.jpg,1785599856755175936,9.876,0.208,89.792,18,90,1085.1,4.45,1,89.792
70060,00070060.jpg,1785599856791956224,9.875,0.036,89.964,22,70,837.2,5.0,1,89.964
70061,00070061.jpg,1785599856824066048,9.873,0.031,89.969,21,90,1061.7,4.29,1,89.969
70062,00070062.jpg,1785599856853481728,9.872,0.028,89.972,22,85,941.2,5.33,1,89.972
70063,00070063.jpg,1785599856892857600,9.871,0.024,89.976,18,91,1049.9,4.41,1,89.976
70064,00070064.jpg,1785599856920781824,9.871,0.016,89.984,17,69,849.5,4.98,1,89.984
70065,00070065.jpg,1785599856954461184,9.87,0.024,89.976,21,90,1030.2,4.01,1,89.976
70066,00070066.jpg,1785599856987213056,9.87,0.024,89.976,23,99,1053.0,3.99,1,89.976
70067,00070067.jpg,1785599857023028992,9.869,0.015,89.985,12,64,826.8,3.81,1,89.985
70068,00070068.jpg,1785599857056795136,9.869,0.02,89.98,19,88,995.2,3.91,1,89.98
70069,00070069.jpg,1785599857092185088,9.869,0.023,89.977,21,90,979.8,2.98,1,89.977
70070,00070070.jpg,1785599857123865344,9.869,0.027,89.973,26,91,923.1,3.92,1,89.973
70071,00070071.jpg,1785599857156016640,9.869,0.02,89.98,13,65,845.9,2.9,1,89.98
70072,00070072.jpg,1785599857190977024,9.869,0.021,89.979,19,81,956.4,2.82,1,89.979
70073,00070073.jpg,1785599857220741632,9.87,2.317,87.683,12,58,725.9,2.86,1,87.683
70074,00070074.jpg,1785599857255264000,9.87,0.019,89.981,16,69,805.7,3.18,1,89.981
70075,00070075.jpg,1785599857286520320,9.871,2.2,87.8,18,83,948.6,2.19,1,87.8
70076,00070076.jpg,1785599857323648256,9.872,2.183,87.817,19,75,825.1,3.73,1,87.817
70077,00070077.jpg,1785599857356613376,9.873,0.015,89.985,16,82,962.7,5.0,1,89.985
70078,00070078.jpg,1785599857391797248,9.874,0.022,89.978,18,91,1085.0,3.93,1,89.978
