frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
24877,00024877.jpg,1785610138261260800,9.81,0.033,89.967,29,93,1179.9,0.61,1,89.967
24878,00024878.jpg,1785610138334449408,9.81,0.033,89.967,28,94,1188.0,0.55,1,89.967
24879,00024879.jpg,1785610138336494336,9.81,0.033,89.967,27,92,1175.0,0.56,1,89.967
24880,00024880.jpg,1785610138345141504,9.81,0.033,89.967,27,92,1175.0,0.56,1,89.967
24881,00024881.jpg,1785610138398467328,9.81,0.033,89.967,27,92,1175.0,0.56,1,89.967
24882,00024882.jpg,1785610138413777408,9.81,0.033,89.967,27,92,1175.0,0.56,1,89.967
24883,00024883.jpg,1785610138461609216,9.763,0.028,89.972,27,92,1175.5,0.53,1,89.972
24884,00024884.jpg,1785610138478571008,9.561,0.028,89.972,29,94,1198.1,0.47,1,89.972
24885,00024885.jpg,1785610138530497792,9.354,0.026,89.974,28,99,1235.9,0.44,1,89.974
24886,00024886.jpg,1785610138544876800,9.363,0.032,89.968,29,101,1240.6,0.41,1,89.968
24887,00024887.jpg,1785610138595153408,9.756,0.02,89.98,27,94,1190.5,0.73,1,89.98
24888,00024888.jpg,1785610138610644992,9.807,0.032,89.968,24,99,1222.1,0.89,1,89.968
24889,00024889.jpg,1785610138661201152,9.884,0.182,89.818,23,105,1262.1,0.84,1,89.818
24890,00024890.jpg,1785610138679392256,9.892,0.321,89.679,24,97,1162.9,1.26,1,89.679
24891,00024891.jpg,1785610138728536320,9.901,0.023,89.977,22,93,1154.9,1.74,1,89.977
24892,00024892.jpg,1785610138744926464,9.901,0.563,89.437,17,80,1150.1,1.32,1,89.437
24893,00024893.jpg,1785610138795458304,9.899,2.043,87.957,20,90,1055.5,2.03,1,87.957
24894,00024894.jpg,1785610138812089088,9.899,1.475,88.525,23,103,1146.8,1.77,1,88.525
24895,00024895.jpg,1785610138861858304,9.895,0.02,89.98,20,82,985.2,2.74,1,89.98
24896,00024896.jpg,1785610138877883904,9.894,0.575,89.425,16,72,965.5,2.62,1,89.425
24897,00024897.jpg,1785610138930488064,9.89,0.017,89.983,19,86,1025.5,3.08,1,89.983
24898,00024898.jpg,1785610138945079552,9.889,0.015,89.985,18,78,968.9,3.05,1,89.985
24899,00024899.jpg,1785610138995049728,9.886,0.018,89.982,27,103,1119.0,3.52,1,89.982
24900,00024900.jpg,1785610139010683136,9.885,0.018,89.982,27,110,1203.1,3.65,1,89.982
24901,00024901.jpg,1785610139061701376,9.882,0.942,89.058,21,72,908.1,3.05,1,89.058
24902,00024902.jpg,1785610139077768704,9.881,0.016,89.984,23,92,1051.8,3.56,1,89.984
24903,00024903.jpg,1785610139128201984,9.879,0.011,89.989,24,98,1111.0,3.8,1,89.989
24904,00024904.jpg,1785610139144590336,9.878,2.016,87.984,25,92,1039.2,2.66,1,87.984
24905,00024905.jpg,1785610139194988800,9.877,1.992,88.008,15,84,1052.8,2.89,1,88.008
24906,00024906.jpg,1785610139211733248,9.876,0.014,89.986,22,100,1131.9,4.72,1,89.986
24907,00024907.jpg,1785610139261154304,9.873,0.013,89.987,23,92,1038.0,4.19,1,89.987
24908,00024908.jpg,1785610139278548480,9.873,0.012,89.988,21,89,1034.5,4.32,1,89.988
24909,00024909.jpg,1785610139327694592,9.871,0.01,89.99,17,92,1071.3,4.06,1,89.99
24910,00024910.jpg,1785610139344943104,9.871,0.009,89.991,15,78,967.2,4.6,1,89.991
24911,00024911.jpg,1785610139394180864,9.87,0.01,89.99,23,92,1035.5,3.99,1,89.99
24912,00024912.jpg,1785610139411715840,9.87,0.01,89.99,28,119,1198.2,3.69,1,89.99
24913,00024913.jpg,1785610139461242112,9.869,0.006,89.994,13,62,805.9,4.34,1,89.994
24914,00024914.jpg,1785610139477643008,9.869,0.007,89.993,18,85,968.9,4.61,1,89.993
24915,00024915.jpg,1785610139529956864,9.869,0.009,89.991,20,86,949.8,2.98,1,89.991
24916,00024916.jpg,1785610139544150272,9.869,0.01,89.99,23,101,1029.0,4.33,1,89.99
24917,00024917.jpg,1785610139594959872,9.869,0.009,89.991,16,71,888.8,2.9,1,89.991
24918,00024918.jpg,1785610139610696192,9.869,0.008,89.992,20,76,894.9,5.23,1,89.992
24919,00024919.jpg,1785610139662034688,9.87,2.307,87.693,17,58,673.3,3.33,1,87.693
24920,00024920.jpg,1785610139679082496,9.87,2.292,87.708,13,70,820.4,3.35,1,87.708
24921,00024921.jpg,1785610139728207616,9.871,2.19,87.81,21,97,1018.0,2.19,1,87.81
24922,00024922.jpg,1785610139744026112,9.871,0.009,89.991,22,93,994.7,4.01,1,89.991
24923,00024923.jpg,1785610139794424320,9.873,0.008,89.992,16,93,1075.4,5.32,1,89.992
24924,00024924.jpg,1785610139813910272,9.873,2.111,87.889,21,66,749.0,5.53,1,87.889
24925,00024925.jpg,1785610139861033472,9.875,2.057,87.943,16,65,827.0,4.94,1,87.943
24926,00024926.jpg,1785610139878415872,9.875,0.009,89.991,15,75,958.8,3.88,1,89.991
24927,00024927.jpg,1785610139930361856,9.878,0.007,89.993,22,78,981.5,2.51,1,89.993
24928,00024928.jpg,1785610139944807680,9.878,0.007,89.993,20,94,1214.5,3.77,1,89.993
24929,00024929.jpg,1785610139996623360,9.881,0.005,89.995,14,87,1198.9,3.61,1,89.995
24930,00024930.jpg,1785610140010642944,9.881,0.007,89.993,25,84,1061.5,5.03,1,89.993
24931,00024931.jpg,1785610140061216512,9.884,0.005,89.995,16,82,1184.4,3.47,1,89.995
24932,00024932.jpg,1785610140078474240,9.885,0.007,89.993,21,81,1092.3,4.49,1,89.993
24933,00024933.jpg,1785610140128506880,9.888,0.005,89.995,19,81,1156.4,3.42,1,89.995
24934,00024934.jpg,1785610140144892928,9.889,0.006,89.994,19,90,1238.4,5.67,1,89.994
24935,00024935.jpg,1785610140194045440,9.892,0.005,89.995,20,110,1542.6,3.37,1,89.995
24936,00024936.jpg,1785610140211457792,9.893,0.006,89.994,26,100,1298.1,6.26,1,89.994
24937,00024937.jpg,1785610140261757184,9.897,0.005,89.995,24,104,1438.4,5.79,1,89.995
24938,00024938.jpg,1785610140277709824,9.898,0.005,89.995,20,112,1613.2,3.23,1,89.995
24939,00024939.jpg,1785610140327466752,9.902,0.003,89.997,17,82,1159.7,8.22,1,89.997
24940,00024940.jpg,1785610140344983552,9.903,0.004,89.996,22,100,1413.3,5.82,1,89.996
24941,00024941.jpg,1785610140394951424,9.907,0.004,89.996,18,82,1243.7,6.62,1,89.996
