frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
147378,00147378.jpg,1785614221537816832,9.81,89.981,0.019,20,87,1119.0,0.51,1,0.019
147379,00147379.jpg,1785614221613787136,9.81,89.981,0.019,20,87,1119.0,0.51,1,0.019
147380,00147380.jpg,1785614221616712704,9.81,89.981,0.019,20,87,1119.0,0.51,1,0.019
147381,00147381.jpg,1785614221639278080,9.81,89.981,0.019,20,87,1119.0,0.51,1,0.019
147382,00147382.jpg,1785614221671644416,9.81,89.981,0.019,20,87,1119.0,0.51,1,0.019
147383,00147383.jpg,1785614221705218816,9.81,89.981,0.019,20,87,1119.0,0.51,1,0.019
147384,00147384.jpg,1785614221737421056,10.503,89.979,0.021,20,87,1119.2,0.52,1,0.021
147385,00147385.jpg,1785614221770669824,9.509,89.984,0.016,19,87,1118.6,0.5,1,0.016
147386,00147386.jpg,1785614221804419840,9.365,89.987,0.013,19,91,1147.9,0.5,1,0.013
147387,00147387.jpg,1785614221836591616,9.338,89.987,0.013,19,91,1134.8,0.5,1,0.013
147388,00147388.jpg,1785614221869447936,9.666,89.991,0.009,18,91,1194.2,0.64,1,0.009
147389,00147389.jpg,1785614221903065856,9.81,89.992,0.008,26,99,1216.5,0.71,1,0.008
147390,00147390.jpg,1785614221936816384,9.869,0.035,89.965,32,106,1249.8,1.03,1,-0.035
147391,00147391.jpg,1785614221971573760,9.892,89.993,0.007,30,111,1257.4,1.4,1,0.007
147392,00147392.jpg,1785614222003126016,9.9,1.028,88.972,25,87,1109.0,1.05,1,-1.028
147393,00147393.jpg,1785614222036547840,9.901,1.34,88.66,20,80,1042.7,1.35,1,-1.34
147394,00147394.jpg,1785614222072249856,9.9,0.184,89.816,19,80,1014.8,1.91,1,-0.184
147395,00147395.jpg,1785614222102701824,9.898,89.994,0.006,23,95,1092.7,2.26,1,0.006
147396,00147396.jpg,1785614222136761856,9.934,89.995,0.005,24,92,1056.0,3.17,1,0.005
147397,00147397.jpg,1785614222172357376,9.894,89.995,0.005,17,71,942.1,3.05,1,0.005
147398,00147398.jpg,1785614222204133376,9.891,2.36,87.64,16,82,1028.1,2.37,1,-2.36
147399,00147399.jpg,1785614222237572096,9.889,2.767,87.233,18,80,988.2,2.77,1,-2.767
147400,00147400.jpg,1785614222270510848,9.887,89.996,0.004,26,101,1111.0,3.21,1,0.004
147401,00147401.jpg,1785614222303136000,9.885,89.996,0.004,27,108,1133.7,3.68,1,0.004
147402,00147402.jpg,1785614222336599808,9.883,89.996,0.004,21,79,926.2,4.29,1,0.004
147403,00147403.jpg,1785614222371719168,9.881,2.905,87.095,24,87,1009.6,2.91,1,-2.905
147404,00147404.jpg,1785614222402864128,9.879,89.997,0.003,21,101,1129.1,4.49,1,0.003
147405,00147405.jpg,1785614222435965952,9.878,0.913,89.087,23,85,978.9,3.54,1,-0.913
147406,00147406.jpg,1785614222470144512,9.876,89.997,0.003,16,83,983.0,4.88,1,0.003
147407,00147407.jpg,1785614222504043520,9.875,1.932,88.068,20,92,1078.3,2.82,1,-1.932
147408,00147408.jpg,1785614222537376768,9.874,89.997,0.003,24,86,984.3,5.79,1,0.003
147409,00147409.jpg,1785614222569445376,9.873,89.997,0.003,18,82,1002.7,4.32,1,0.003
147410,00147410.jpg,1785614222603845376,9.872,1.879,88.121,29,112,1147.5,3.69,1,-1.879
147411,00147411.jpg,1785614222637469184,9.871,1.815,88.185,16,76,933.7,2.93,1,-1.815
147412,00147412.jpg,1785614222669385728,9.87,89.998,0.002,18,74,881.2,5.13,1,0.002
147413,00147413.jpg,1785614222703872256,9.87,89.998,0.002,30,130,1259.2,3.88,1,0.002
147414,00147414.jpg,1785614222736851968,9.869,89.998,0.002,17,79,887.4,4.53,1,0.002
147415,00147415.jpg,1785614222769569792,9.869,89.998,0.002,15,85,976.6,5.23,1,0.002
147416,00147416.jpg,1785614222805509376,9.869,89.998,0.002,24,87,888.5,4.39,1,0.002
147417,00147417.jpg,1785614222836880384,9.869,89.998,0.002,20,87,931.5,4.43,1,0.002
147418,00147418.jpg,1785614222871731968,9.869,89.998,0.002,23,87,912.7,3.83,1,0.002
147419,00147419.jpg,1785614222902671616,9.869,2.206,87.794,18,66,813.8,2.21,1,-2.206
147420,00147420.jpg,1785614222936751104,9.898,89.997,0.003,22,90,1067.6,2.8,1,0.003
147421,00147421.jpg,1785614222969633536,9.87,2.272,87.728,13,71,847.6,2.73,1,-2.272
147422,00147422.jpg,1785614223004117504,9.871,89.998,0.002,17,73,823.2,3.55,1,0.002
147423,00147423.jpg,1785614223039664896,9.871,89.998,0.002,21,87,917.8,5.82,1,0.002
147424,00147424.jpg,1785614223071858432,9.872,89.998,0.002,14,74,840.7,5.69,1,0.002
147425,00147425.jpg,1785614223103102720,9.873,2.14,87.86,20,65,748.7,6.23,1,-2.14
