frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
622855,00622855.jpg,1785630070529702144,9.81,0.032,89.968,27,88,1158.6,0.59,1,89.968
622856,00622856.jpg,1785630070617216768,9.81,0.032,89.968,27,88,1158.6,0.59,1,89.968
622857,00622857.jpg,1785630070618856704,9.81,0.032,89.968,27,88,1158.6,0.59,1,89.968
622858,00622858.jpg,1785630070629837824,9.81,0.032,89.968,27,88,1158.6,0.59,1,89.968
622859,00622859.jpg,1785630070661017600,9.81,0.032,89.968,27,88,1158.6,0.59,1,89.968
622860,00622860.jpg,1785630070698927872,9.81,0.032,89.968,27,88,1158.6,0.59,1,89.968
622861,00622861.jpg,1785630070730352128,9.788,0.032,89.968,27,88,1158.9,0.58,1,89.968
622862,00622862.jpg,1785630070761108224,9.423,0.027,89.973,30,102,1236.4,0.44,1,89.973
622863,00622863.jpg,1785630070795329280,9.342,0.033,89.967,29,100,1232.2,0.46,1,89.967
622864,00622864.jpg,1785630070835889664,9.563,0.028,89.972,29,90,1162.8,0.55,1,89.972
622865,00622865.jpg,1785630070865917184,9.754,0.032,89.968,24,98,1220.7,0.63,1,89.968
622866,00622866.jpg,1785630070898597376,9.846,0.044,89.956,23,97,1212.3,0.97,1,89.956
622867,00622867.jpg,1785630070931822592,9.883,0.078,89.922,24,101,1224.7,0.87,1,89.922
622868,00622868.jpg,1785630070966277120,9.897,0.164,89.836,26,100,1171.3,1.09,1,89.836
622869,00622869.jpg,1785630070995902208,9.901,0.384,89.616,19,80,1136.1,1.41,1,89.616
622870,00622870.jpg,1785630071035081216,9.798,0.028,89.972,17,74,1021.6,2.15,1,89.972
622871,00622871.jpg,1785630071065255424,9.899,1.102,88.898,22,100,1099.4,1.6,1,88.898
622872,00622872.jpg,1785630071098631936,9.897,0.026,89.974,26,99,1078.5,2.45,1,89.974
622873,00622873.jpg,1785630071130721792,9.895,0.302,89.698,18,72,944.8,2.54,1,89.698
622874,00622874.jpg,1785630071165850624,9.893,0.501,89.499,17,82,1024.1,2.36,1,89.499
622875,00622875.jpg,1785630071195990528,9.89,0.021,89.979,19,83,1001.6,3.06,1,89.979
622876,00622876.jpg,1785630071228617728,9.735,0.022,89.978,21,80,977.9,2.91,1,89.978
622877,00622877.jpg,1785630071261019904,8.753,0.025,89.975,25,106,1150.2,3.02,1,89.975
622878,00622878.jpg,1785630071295915008,7.434,0.021,89.979,19,85,991.8,3.04,1,89.979
622879,00622879.jpg,1785630071330909440,6.085,1.548,88.452,22,76,887.9,2.08,1,88.452
622880,00622880.jpg,1785630071361673728,5.579,0.019,89.981,20,94,1077.8,3.18,1,89.981
622881,00622881.jpg,1785630071400783360,8.544,0.02,89.98,19,74,922.8,3.53,1,89.98
622882,00622882.jpg,1785630071431233536,9.286,0.024,89.976,23,104,1117.9,3.33,1,89.976
622883,00622883.jpg,1785630071461606912,9.646,0.021,89.979,29,90,948.0,3.49,1,89.979
622884,00622884.jpg,1785630071496083200,9.817,0.026,89.974,18,87,1016.4,3.51,1,89.974
622885,00622885.jpg,1785630071530633216,10.181,0.016,89.984,20,98,1083.2,4.14,1,89.984
622886,00622886.jpg,1785630071566130688,10.217,0.014,89.986,19,74,940.1,5.71,1,89.986
622887,00622887.jpg,1785630071595947264,10.227,1.471,88.529,23,98,1357.9,2.85,1,88.529
622888,00622888.jpg,1785630071631198208,10.194,1.97,88.03,24,94,1304.8,3.51,1,88.03
622889,00622889.jpg,1785630071666009088,10.029,1.609,88.391,20,89,1297.3,2.28,1,88.391
622890,00622890.jpg,1785630071698147328,9.956,1.541,88.459,22,92,1306.7,2.87,1,88.459
622891,00622891.jpg,1785630071730062080,9.938,0.004,89.996,19,79,1205.9,3.34,1,89.996
622892,00622892.jpg,1785630071766234624,9.922,1.552,88.448,21,73,1171.6,2.75,1,88.448
622893,00622893.jpg,1785630071797592064,9.924,1.55,88.45,15,77,1230.5,2.44,1,88.45
622894,00622894.jpg,1785630071831317760,9.935,1.549,88.451,12,62,1170.2,1.95,1,88.451
622895,00622895.jpg,1785630071864793088,9.938,90.0,0.0,22,101,1410.9,3.34,1,90.0
622896,00622896.jpg,1785630071900536832,9.947,1.504,88.496,21,83,1267.2,2.5,1,88.496
622897,00622897.jpg,1785630071931285248,9.955,1.53,88.47,16,81,1301.4,2.57,1,88.47
622898,00622898.jpg,1785630071966124544,9.959,1.492,88.508,21,88,1306.2,2.28,1,88.508
622899,00622899.jpg,1785630071997545216,9.963,1.478,88.522,20,77,1189.6,2.42,1,88.522
622900,00622900.jpg,1785630072031635712,9.967,1.689,88.311,22,107,1505.9,2.27,1,88.311
622901,00622901.jpg,1785630072065611264,9.97,1.881,88.119,23,86,1292.9,2.14,1,88.119
622902,00622902.jpg,1785630072096677888,9.972,1.422,88.578,25,102,1437.5,2.15,1,88.578
622903,00622903.jpg,1785630072130028544,9.974,1.791,88.209,20,108,1536.0,1.89,1,88.209
622904,00622904.jpg,1785630072164783360,9.976,1.413,88.587,22,97,1479.8,2.27,1,88.587
622905,00622905.jpg,1785630072198449408,9.978,1.372,88.628,24,102,1530.8,2.61,1,88.628
622906,00622906.jpg,1785630072232106240,9.979,1.359,88.641,22,94,1433.7,2.11,1,88.641
622907,00622907.jpg,1785630072269293824,23.342,1.313,88.687,22,101,1551.4,2.78,1,88.687
622908,00622908.jpg,1785630072296645120,11.684,89.964,0.036,27,124,1631.8,1.11,1,90.036
622909,00622909.jpg,1785630072331052288,8.122,0.962,89.038,21,106,1502.8,0.99,1,89.038
622910,00622910.jpg,1785630072365567744,8.43,1.211,88.789,22,121,1650.6,1.24,1,88.789
622911,00622911.jpg,1785630072398066432,8.997,1.339,88.661,23,92,1328.1,1.36,1,88.661
622912,00622912.jpg,1785630072431182336,9.421,89.99,0.01,24,129,1660.9,1.79,1,90.01
622913,00622913.jpg,1785630072465371904,10.556,0.821,89.179,20,98,1521.7,1.14,1,89.179
622914,00622914.jpg,1785630072498305792,10.326,0.991,89.009,18,90,1442.8,1.27,1,89.009
622915,00622915.jpg,1785630072529879808,9.864,0.783,89.217,19,94,1467.1,1.25,1,89.217
622916,00622916.jpg,1785630072563621888,9.894,0.028,89.972,18,113,1622.4,1.66,1,89.972
622917,00622917.jpg,1785630072596821248,9.91,1.211,88.789,17,84,1354.6,1.26,1,88.789
622918,00622918.jpg,1785630072629278464,9.918,89.976,0.024,20,105,1579.5,1.67,1,90.024
622919,00622919.jpg,1785630072663173632,9.921,0.883,89.117,20,109,1596.2,1.1,1,89.117
622920,00622920.jpg,1785630072696372224,9.922,89.984,0.016,21,114,1643.4,1.92,1,90.016
622921,00622921.jpg,1785630072730407936,9.923,1.006,88.994,22,107,1603.1,1.04,1,88.994
622922,00622922.jpg,1785630072763047424,9.923,89.988,0.012,18,91,1497.5,1.63,1,90.012
622923,00622923.jpg,1785630072795956992,9.923,0.284,89.716,21,108,1635.6,1.78,1,89.716
622924,00622924.jpg,1785630072830386688,9.922,89.991,0.009,21,110,1673.1,2.07,1,90.009
622925,00622925.jpg,1785630072866043904,9.922,1.127,88.873,20,112,1689.4,1.15,1,88.873
622926,00622926.jpg,1785630072896467200,9.922,1.12,88.88,22,119,1756.3,1.14,1,88.88
622927,00622927.jpg,1785630072930814208,9.921,0.513,89.487,24,120,1751.7,1.53,1,89.487
622928,00622928.jpg,1785630072963772928,9.921,89.993,0.007,23,124,1826.5,1.8,1,90.007
622929,00622929.jpg,1785630072996861184,9.921,89.993,0.007,22,122,1845.5,1.71,1,90.007
622930,00622930.jpg,1785630073029441280,9.921,89.991,0.009,25,125,1876.2,1.95,1,90.009
622931,00622931.jpg,1785630073063682816,9.92,89.993,0.007,25,116,1751.3,1.98,1,90.007
622932,00622932.jpg,1785630073096196608,9.92,89.991,0.009,21,104,1628.8,1.94,1,90.009
622933,00622933.jpg,1785630073130585088,9.92,89.991,0.009,21,104,1674.0,1.94,1,90.009
622934,00622934.jpg,1785630073163953152,9.92,89.992,0.008,18,91,1404.3,4.03,1,90.008
622935,00622935.jpg,1785630073195443712,9.92,89.992,0.008,17,91,1404.1,3.96,1,90.008
622936,00622936.jpg,1785630073231842304,9.92,,,0,0,0.0,,0,90.008
622937,00622937.jpg,1785630073263099392,9.92,,,0,0,0.0,,0,90.008
622938,00622938.jpg,1785630073296559104,9.805,,,0,0,0.0,,0,90.008
622939,00622939.jpg,1785630073329486848,9.805,,,0,0,0.0,,0,90.008
622940,00622940.jpg,1785630073362800384,9.805,89.989,0.011,22,108,1580.7,3.7,1,90.011
622941,00622941.jpg,1785630073395841536,9.805,89.989,0.011,22,108,1580.7,3.7,1,90.011
622942,00622942.jpg,1785630073429760000,9.805,89.989,0.011,22,108,1580.7,3.7,1,90.011
