frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
637665,00637665.jpg,1785630564197495808,9.81,0.031,89.969,27,92,1180.6,0.56,1,89.969
637666,00637666.jpg,1785630564336616704,9.81,0.031,89.969,27,92,1180.6,0.56,1,89.969
637667,00637667.jpg,1785630564339957504,9.81,0.031,89.969,27,92,1180.6,0.56,1,89.969
637668,00637668.jpg,1785630564343184896,9.81,0.031,89.969,28,94,1192.6,0.56,1,89.969
637669,00637669.jpg,1785630564346796544,9.81,0.031,89.969,27,92,1180.6,0.56,1,89.969
637670,00637670.jpg,1785630564350321664,9.81,0.031,89.969,28,92,1180.6,0.56,1,89.969
637671,00637671.jpg,1785630564399486464,10.847,0.035,89.965,28,92,1180.9,0.54,1,89.965
637672,00637672.jpg,1785630564413800704,9.787,0.025,89.975,28,94,1193.1,0.53,1,89.975
637673,00637673.jpg,1785630564463632384,9.349,0.023,89.977,29,101,1252.8,0.49,1,89.977
637674,00637674.jpg,1785630564481185280,9.335,0.027,89.973,28,99,1235.9,0.44,1,89.973
637675,00637675.jpg,1785630564530348032,9.674,0.018,89.982,28,95,1297.5,0.64,1,89.982
637676,00637676.jpg,1785630564546939392,9.752,0.015,89.985,28,104,1354.2,0.91,1,89.985
637677,00637677.jpg,1785630564597017856,9.871,0.056,89.944,23,97,1217.9,1.06,1,89.944
637678,00637678.jpg,1785630564613950720,9.883,0.169,89.831,23,105,1261.7,0.84,1,89.831
637679,00637679.jpg,1785630564666209280,9.9,0.395,89.605,23,90,1132.3,1.34,1,89.605
637680,00637680.jpg,1785630564680084224,9.901,0.026,89.974,22,94,1158.6,1.74,1,89.974
637681,00637681.jpg,1785630564731012096,9.9,1.293,88.707,14,72,964.0,1.56,1,88.707
637682,00637682.jpg,1785630564747174912,9.899,1.624,88.376,19,89,1058.9,1.66,1,88.376
637683,00637683.jpg,1785630564799326720,9.896,0.021,89.979,26,92,995.3,3.06,1,89.979
637684,00637684.jpg,1785630564814497024,9.895,0.464,89.536,20,82,997.5,2.28,1,89.536
637685,00637685.jpg,1785630564864275712,9.891,0.02,89.98,16,78,1006.1,3.07,1,89.98
637686,00637686.jpg,1785630564880412672,9.89,0.017,89.983,19,86,1011.5,2.86,1,89.983
637687,00637687.jpg,1785630564930095616,9.887,1.88,88.12,24,91,1041.5,1.87,1,88.12
637688,00637688.jpg,1785630564948069376,9.886,0.021,89.979,27,103,1134.4,3.51,1,89.979
637689,00637689.jpg,1785630564997653248,9.883,0.023,89.977,20,80,974.3,3.98,1,89.977
637690,00637690.jpg,1785630565014496768,9.882,0.019,89.981,20,72,901.2,3.61,1,89.981
637691,00637691.jpg,1785630565067133952,9.879,0.016,89.984,20,90,1042.4,3.89,1,89.984
637692,00637692.jpg,1785630565080645888,9.879,0.013,89.987,24,98,1110.5,3.79,1,89.987
