frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
1092137,01092137.jpg,1785645713354283776,9.81,89.984,0.016,22,87,1142.3,0.53,1,0.016
1092138,01092138.jpg,1785645713384355584,9.81,89.984,0.016,22,87,1142.3,0.53,1,0.016
1092139,01092139.jpg,1785645713417996800,9.81,89.984,0.016,22,87,1142.3,0.53,1,0.016
1092140,01092140.jpg,1785645713451465728,10.945,89.982,0.018,22,87,1142.5,0.52,1,0.018
1092141,01092141.jpg,1785645713482880000,9.53,89.984,0.016,18,85,1114.3,0.49,1,0.016
1092142,01092142.jpg,1785645713516994304,9.368,89.988,0.012,20,95,1173.7,0.48,1,0.012
1092143,01092143.jpg,1785645713551076352,9.332,89.986,0.014,18,89,1156.6,0.45,1,0.014
1092144,01092144.jpg,1785645713582984448,9.662,89.991,0.009,20,90,1193.9,0.55,1,0.009
1092145,01092145.jpg,1785645713617171200,9.809,89.992,0.008,26,96,1198.4,0.62,1,0.008
1092146,01092146.jpg,1785645713650496512,9.868,89.992,0.008,31,107,1246.8,0.73,1,0.008
1092147,01092147.jpg,1785645713683716608,9.892,0.323,89.677,29,105,1219.8,1.25,1,-0.323
1092148,01092148.jpg,1785645713716869120,9.9,1.169,88.831,24,88,1113.1,1.19,1,-1.169
1092149,01092149.jpg,1785645713750074624,9.901,1.46,88.54,20,78,1021.5,1.47,1,-1.46
1092150,01092150.jpg,1785645713783308288,9.9,0.486,89.514,19,76,998.4,1.7,1,-0.486
1092151,01092151.jpg,1785645713816165632,9.898,0.485,89.515,23,95,1096.9,1.81,1,-0.485
1092152,01092152.jpg,1785645713850908416,9.896,0.489,89.511,24,97,1077.8,2.24,1,-0.489
1092153,01092153.jpg,1785645713886253056,9.894,1.192,88.808,18,75,963.1,1.89,1,-1.192
1092154,01092154.jpg,1785645713917359872,9.891,2.367,87.633,17,80,1013.0,2.37,1,-2.367
1092155,01092155.jpg,1785645713952575744,9.889,2.17,87.83,19,80,984.7,2.18,1,-2.17
1092156,01092156.jpg,1785645713984062720,9.887,89.994,0.006,25,91,1048.4,3.52,1,0.006
1092157,01092157.jpg,1785645714017667072,9.885,89.995,0.005,28,112,1164.7,3.65,1,0.005
1092158,01092158.jpg,1785645714050612736,9.883,89.995,0.005,22,84,937.8,4.27,1,0.005
1092159,01092159.jpg,1785645714082961920,9.881,2.905,87.095,24,87,1008.4,2.91,1,-2.905
1092160,01092160.jpg,1785645714116901888,9.879,2.032,87.968,21,103,1144.8,2.81,1,-2.032
1092161,01092161.jpg,1785645714150425088,9.878,0.9,89.1,19,81,988.3,3.55,1,-0.9
1092162,01092162.jpg,1785645714183239424,9.876,89.995,0.005,16,82,967.7,4.68,1,0.005
1092163,01092163.jpg,1785645714217223424,9.876,1.936,88.064,19,94,1101.5,2.48,1,-1.936
1092164,01092164.jpg,1785645714249948928,9.874,89.996,0.004,24,92,1025.9,5.07,1,0.004
1092165,01092165.jpg,1785645714283269632,9.873,89.996,0.004,16,78,984.5,4.55,1,0.004
1092166,01092166.jpg,1785645714317552384,9.872,89.996,0.004,31,114,1154.0,5.16,1,0.004
1092167,01092167.jpg,1785645714350746368,9.871,0.726,89.274,18,86,988.9,4.06,1,-0.726
1092168,01092168.jpg,1785645714384518144,9.87,89.996,0.004,19,74,859.1,4.62,1,0.004
1092169,01092169.jpg,1785645714417619968,9.87,89.996,0.004,28,126,1211.8,3.48,1,0.004
1092170,01092170.jpg,1785645714450842624,9.869,89.996,0.004,17,81,897.5,3.95,1,0.004
1092171,01092171.jpg,1785645714483318784,9.869,89.997,0.003,15,82,956.1,5.22,1,0.003
1092172,01092172.jpg,1785645714516452864,9.869,89.997,0.003,23,85,874.7,4.27,1,0.003
1092173,01092173.jpg,1785645714550951168,9.869,89.997,0.003,23,99,1043.1,3.87,1,0.003
1092174,01092174.jpg,1785645714583912192,9.869,89.997,0.003,24,82,862.8,5.73,1,0.003
1092175,01092175.jpg,1785645714616059136,9.869,89.997,0.003,17,64,825.5,2.83,1,0.003
