frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
1114891,01114891.jpg,1785646471796071424,9.81,0.032,89.968,27,92,1180.6,0.56,1,89.968
1114892,01114892.jpg,1785646471829796352,9.81,0.032,89.968,27,92,1180.6,0.56,1,89.968
1114893,01114893.jpg,1785646471869036544,9.81,0.032,89.968,27,92,1180.6,0.56,1,89.968
1114894,01114894.jpg,1785646471894532096,10.852,0.036,89.964,27,92,1180.7,0.55,1,89.964
1114895,01114895.jpg,1785646471929640448,9.5,0.022,89.978,28,96,1191.5,0.5,1,89.978
1114896,01114896.jpg,1785646471961089792,9.358,0.022,89.978,28,101,1242.7,0.46,1,89.978
1114897,01114897.jpg,1785646471994753792,9.345,0.022,89.978,29,100,1227.1,0.42,1,89.978
1114898,01114898.jpg,1785646472029722624,9.666,0.012,89.988,27,89,1174.4,0.48,1,89.988
1114899,01114899.jpg,1785646472061250048,9.74,0.011,89.989,24,99,1225.5,0.7,1,89.989
1114900,01114900.jpg,1785646472094863360,9.869,0.286,89.714,26,105,1239.8,0.96,1,89.714
1114901,01114901.jpg,1785646472128354816,9.892,0.093,89.907,25,97,1170.3,1.3,1,89.907
1114902,01114902.jpg,1785646472161668352,9.9,0.32,89.68,25,93,1143.3,1.45,1,89.68
1114903,01114903.jpg,1785646472195098880,9.901,90.0,0.0,17,80,1140.6,1.76,1,90.0
1114904,01114904.jpg,1785646472229710848,9.9,1.213,88.787,14,67,942.8,1.64,1,88.787
1114905,01114905.jpg,1785646472262514176,9.898,0.996,89.004,24,108,1178.5,1.87,1,89.004
1114906,01114906.jpg,1785646472295081984,9.896,89.998,0.002,26,90,979.5,3.04,1,90.002
1114907,01114907.jpg,1785646472328173824,9.894,89.997,0.003,16,77,978.2,2.95,1,90.003
1114908,01114908.jpg,1785646472362494464,9.891,0.516,89.484,16,77,999.3,2.56,1,89.484
1114909,01114909.jpg,1785646472395418624,9.889,0.465,89.535,18,76,949.6,2.65,1,89.535
1114910,01114910.jpg,1785646472428567808,9.887,1.487,88.513,23,94,1074.9,2.2,1,88.513
1114911,01114911.jpg,1785646472462026752,9.885,89.996,0.004,26,108,1201.4,3.69,1,90.004
1114912,01114912.jpg,1785646472495390208,9.883,2.071,87.929,16,72,936.4,2.08,1,87.929
1114913,01114913.jpg,1785646472528718592,9.881,0.691,89.309,21,84,1016.6,3.62,1,89.309
1114914,01114914.jpg,1785646472561775360,9.879,89.996,0.004,22,101,1117.5,4.5,1,90.004
1114915,01114915.jpg,1785646472594866688,9.878,89.996,0.004,26,92,1036.6,4.17,1,90.004
1114916,01114916.jpg,1785646472628472320,9.876,1.997,88.003,15,70,920.7,2.51,1,88.003
1114917,01114917.jpg,1785646472661598976,9.875,89.996,0.004,22,103,1163.3,4.38,1,90.004
1114918,01114918.jpg,1785646472694731264,9.874,2.709,87.291,21,88,1028.5,2.72,1,87.291
1114919,01114919.jpg,1785646472729721600,9.873,89.996,0.004,19,84,1003.3,4.48,1,90.004
1114920,01114920.jpg,1785646472762443008,9.873,89.996,0.004,21,107,1136.1,4.83,1,90.004
1114921,01114921.jpg,1785646472795969280,9.871,89.996,0.004,16,80,983.0,4.49,1,90.004
1114922,01114922.jpg,1785646472829718784,9.87,89.996,0.004,18,72,848.1,4.05,1,90.004
1114923,01114923.jpg,1785646472861247232,9.87,89.996,0.004,29,123,1214.7,3.56,1,90.004
1114924,01114924.jpg,1785646472894853888,9.87,89.996,0.004,15,73,868.0,3.96,1,90.004
1114925,01114925.jpg,1785646472928410112,9.869,89.996,0.004,17,86,987.3,4.32,1,90.004
1114926,01114926.jpg,1785646472961703680,9.869,89.996,0.004,26,92,931.6,3.88,1,90.004
1114927,01114927.jpg,1785646472995841792,9.869,89.996,0.004,23,96,1000.3,4.4,1,90.004
1114928,01114928.jpg,1785646473028925440,9.869,89.997,0.003,25,96,979.1,2.96,1,90.003
1114929,01114929.jpg,1785646473061121536,9.869,2.333,87.667,19,70,853.2,3.0,1,87.667
1114930,01114930.jpg,1785646473094861568,9.87,89.996,0.004,26,103,1142.2,2.83,1,90.004
1114931,01114931.jpg,1785646473128234496,9.87,2.294,87.706,14,72,836.0,2.8,1,87.706
1114932,01114932.jpg,1785646473163035648,9.871,2.276,87.724,18,77,842.7,3.24,1,87.724
1114933,01114933.jpg,1785646473195007744,9.872,89.996,0.004,23,93,963.5,4.17,1,90.004
1114934,01114934.jpg,1785646473228630272,10.003,2.162,87.838,14,74,883.9,3.65,1,87.838
1114935,01114935.jpg,1785646473262014976,10.291,2.112,87.888,22,68,750.1,5.35,1,87.888
1114936,01114936.jpg,1785646473295235328,11.005,89.996,0.004,31,109,1137.7,4.19,1,90.004
1114937,01114937.jpg,1785646473329139712,11.692,89.996,0.004,16,78,965.1,3.93,1,90.004
1114938,01114938.jpg,1785646473361712896,12.661,89.996,0.004,19,90,1106.5,3.9,1,90.004
1114939,01114939.jpg,1785646473394591744,13.828,89.996,0.004,22,98,1176.1,3.88,1,90.004
1114940,01114940.jpg,1785646473429354752,14.893,89.997,0.003,18,77,986.4,5.86,1,90.003
1114941,01114941.jpg,1785646473462492928,15.959,89.996,0.004,12,78,1098.7,3.26,1,90.004
1114942,01114942.jpg,1785646473494448128,17.029,89.997,0.003,16,91,1199.1,3.7,1,90.003
1114943,01114943.jpg,1785646473528648448,17.681,89.997,0.003,23,103,1309.5,4.66,1,90.003
1114944,01114944.jpg,1785646473562502912,10.913,89.997,0.003,14,79,1129.2,5.14,1,90.003
1114945,01114945.jpg,1785646473594492160,4.083,89.996,0.004,16,84,1228.3,3.54,1,90.004
1114946,01114946.jpg,1785646473629251072,4.823,89.997,0.003,19,83,1193.3,5.84,1,90.003
1114947,01114947.jpg,1785646473661039872,6.613,89.996,0.004,27,134,1665.4,3.52,1,90.004
1114948,01114948.jpg,1785646473694405120,7.983,89.997,0.003,14,70,1174.9,5.93,1,90.003
1114949,01114949.jpg,1785646473728852992,8.823,89.996,0.004,23,110,1517.4,4.4,1,90.004
1114950,01114950.jpg,1785646473761775616,9.271,89.996,0.004,19,100,1471.8,4.22,1,90.004
1114951,01114951.jpg,1785646473794857216,9.663,89.997,0.003,18,92,1475.1,4.74,1,90.003
1114952,01114952.jpg,1785646473828561152,9.996,89.996,0.004,20,98,1468.8,4.74,1,90.004
1114953,01114953.jpg,1785646473864489216,10.522,89.996,0.004,18,91,1379.0,5.75,1,90.004
1114954,01114954.jpg,1785646473894797056,11.31,89.996,0.004,13,84,1352.2,4.87,1,90.004
1114955,01114955.jpg,1785646473928134144,12.023,89.996,0.004,18,78,1250.6,7.09,1,90.004
1114956,01114956.jpg,1785646473961371904,12.668,89.996,0.004,19,86,1292.1,6.11,1,90.004
1114957,01114957.jpg,1785646473994821120,10.808,89.996,0.004,20,112,1544.6,4.47,1,90.004
1114958,01114958.jpg,1785646474028600320,7.604,89.996,0.004,12,78,1269.0,3.91,1,90.004
1114959,01114959.jpg,1785646474061827072,7.779,89.996,0.004,19,92,1335.9,3.03,1,90.004
1114960,01114960.jpg,1785646474094886912,8.474,89.996,0.004,12,72,1134.4,3.01,1,90.004
1114961,01114961.jpg,1785646474128492032,9.032,89.996,0.004,18,84,1180.5,3.73,1,90.004
1114962,01114962.jpg,1785646474161434624,9.375,89.996,0.004,17,80,1085.2,2.88,1,90.004
1114963,01114963.jpg,1785646474194889728,9.567,89.996,0.004,15,90,1315.0,2.84,1,90.004
1114964,01114964.jpg,1785646474228623616,9.668,89.996,0.004,21,86,1283.9,2.27,1,90.004
1114965,01114965.jpg,1785646474261956352,9.721,89.996,0.004,10,60,909.4,4.0,1,90.004
1114966,01114966.jpg,1785646474295035904,9.749,89.996,0.004,14,64,1033.4,5.5,1,90.004
1114967,01114967.jpg,1785646474328907264,9.764,89.996,0.004,15,64,951.6,2.61,1,90.004
1114968,01114968.jpg,1785646474362161920,9.818,87.937,2.063,7,40,689.6,4.58,1,92.063
1114969,01114969.jpg,1785646474394855168,10.137,89.996,0.004,11,42,700.9,4.65,1,90.004
1114970,01114970.jpg,1785646474428319488,10.564,89.994,0.006,11,44,674.0,2.45,1,90.006
1114971,01114971.jpg,1785646474461502976,11.375,89.996,0.004,6,37,645.7,3.15,1,90.004
1114972,01114972.jpg,1785646474494958592,12.432,89.997,0.003,10,43,637.8,2.36,1,90.003
1114973,01114973.jpg,1785646474528394240,13.28,89.997,0.003,10,34,369.1,2.28,1,90.003
1114974,01114974.jpg,1785646474561259008,14.35,89.995,0.005,9,32,257.1,6.85,1,90.005
1114975,01114975.jpg,1785646474596226560,15.627,89.994,0.006,11,28,195.6,0.0,1,90.006
1114976,01114976.jpg,1785646474628272384,16.62,89.996,0.004,9,30,257.5,5.91,1,90.004
1114977,01114977.jpg,1785646474662374400,17.743,89.996,0.004,11,52,526.6,4.26,1,90.004
1114978,01114978.jpg,1785646474694848256,18.989,89.997,0.003,15,62,822.1,5.47,1,90.003
1114979,01114979.jpg,1785646474727965696,19.77,89.996,0.004,19,102,1498.0,4.28,1,90.004
1114980,01114980.jpg,1785646474761186304,20.01,89.997,0.003,28,118,1682.7,3.38,1,90.003
1114981,01114981.jpg,1785646474794394112,4.662,89.997,0.003,25,90,1409.7,6.08,1,90.003
1114982,01114982.jpg,1785646474829092096,2.467,89.996,0.004,24,110,1510.5,4.4,1,90.004
