frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
1120118,01120118.jpg,1785646646032688896,9.81,0.033,89.967,28,94,1192.2,0.56,1,89.967
1120119,01120119.jpg,1785646646064741376,9.81,0.033,89.967,28,94,1192.2,0.56,1,89.967
1120120,01120120.jpg,1785646646101423616,9.81,0.033,89.967,28,94,1192.2,0.56,1,89.967
1120121,01120121.jpg,1785646646131821824,9.803,0.037,89.963,28,92,1180.6,0.53,1,89.963
1120122,01120122.jpg,1785646646163951616,9.433,0.044,89.956,29,100,1227.9,0.42,1,89.956
1120123,01120123.jpg,1785646646197118976,9.349,0.044,89.956,28,99,1235.7,0.45,1,89.956
1120124,01120124.jpg,1785646646230595584,9.472,0.039,89.961,27,96,1212.0,0.41,1,89.961
1120125,01120125.jpg,1785646646263927552,9.729,0.03,89.97,26,96,1199.9,0.67,1,89.97
1120126,01120126.jpg,1785646646297229824,9.836,0.045,89.955,23,95,1196.9,0.99,1,89.955
1120127,01120127.jpg,1785646646330669568,9.879,0.147,89.853,23,105,1260.6,1.1,1,89.853
1120128,01120128.jpg,1785646646365094656,9.895,0.266,89.734,25,94,1139.1,1.23,1,89.734
1120129,01120129.jpg,1785646646396986368,9.901,0.027,89.973,19,77,1063.7,1.74,1,89.973
1120130,01120130.jpg,1785646646431610624,9.901,0.987,89.013,13,73,1014.7,1.34,1,89.013
1120131,01120131.jpg,1785646646464015104,9.9,1.595,88.405,23,94,1085.0,1.69,1,88.405
1120132,01120132.jpg,1785646646496902912,9.898,0.021,89.979,26,99,1093.1,2.38,1,89.979
1120133,01120133.jpg,1785646646530341632,9.895,0.443,89.557,16,67,910.0,2.27,1,89.557
1120134,01120134.jpg,1785646646565080320,9.893,0.64,89.36,15,78,1005.7,2.41,1,89.36
1120135,01120135.jpg,1785646646598340864,9.891,0.016,89.984,17,80,990.3,2.84,1,89.984
1120136,01120136.jpg,1785646646633193472,9.888,0.019,89.981,23,78,948.4,3.17,1,89.981
1120137,01120137.jpg,1785646646664260864,9.886,0.018,89.982,26,114,1197.7,3.48,1,89.982
1120138,01120138.jpg,1785646646696961024,9.884,0.014,89.986,22,85,977.1,3.74,1,89.986
1120139,01120139.jpg,1785646646731732736,9.882,2.122,87.878,21,78,934.2,2.12,1,87.878
1120140,01120140.jpg,1785646646767094784,9.88,0.014,89.986,21,96,1120.1,3.8,1,89.986
1120141,01120141.jpg,1785646646796922624,9.879,1.807,88.193,21,90,1050.8,2.08,1,88.193
1120142,01120142.jpg,1785646646830322944,9.877,2.012,87.988,18,71,893.7,2.74,1,87.988
1120143,01120143.jpg,1785646646864690176,9.876,0.173,89.827,21,94,1111.3,4.44,1,89.827
1120144,01120144.jpg,1785646646899720704,9.875,1.973,88.027,23,84,947.4,3.59,1,88.027
1120145,01120145.jpg,1785646646931674880,9.873,0.012,89.988,22,91,1053.5,4.13,1,89.988
1120146,01120146.jpg,1785646646964990976,9.872,0.01,89.99,21,85,925.8,5.19,1,89.99
1120147,01120147.jpg,1785646646998199040,9.872,0.009,89.991,18,93,1084.5,4.24,1,89.991
1120148,01120148.jpg,1785646647032180736,9.871,0.007,89.993,16,74,912.0,4.8,1,89.993
1120149,01120149.jpg,1785646647063716096,9.87,0.008,89.992,24,102,1109.7,3.73,1,89.992
1120150,01120150.jpg,1785646647096902912,9.87,0.009,89.991,23,93,988.1,4.01,1,89.991
1120151,01120151.jpg,1785646647131532800,9.869,0.006,89.994,13,64,821.6,3.94,1,89.994
1120152,01120152.jpg,1785646647165655552,9.869,0.007,89.993,18,90,1025.5,3.9,1,89.993
1120153,01120153.jpg,1785646647197176320,9.869,0.008,89.992,20,89,974.7,3.0,1,89.992
1120154,01120154.jpg,1785646647230442496,9.869,0.01,89.99,26,95,942.7,3.92,1,89.99
1120155,01120155.jpg,1785646647263638272,9.869,0.007,89.993,15,64,833.7,2.92,1,89.993
1120156,01120156.jpg,1785646647299790848,9.869,0.007,89.993,19,83,966.0,2.81,1,89.993
1120157,01120157.jpg,1785646647331551232,9.87,2.793,87.207,13,54,655.5,3.85,1,87.207
1120158,01120158.jpg,1785646647363968256,9.87,0.008,89.992,14,65,761.5,3.19,1,89.992
1120159,01120159.jpg,1785646647397308672,9.871,0.009,89.991,18,83,943.1,3.58,1,89.991
1120160,01120160.jpg,1785646647432488192,9.872,2.198,87.802,14,65,773.2,5.25,1,87.802
1120161,01120161.jpg,1785646647463864576,9.873,0.007,89.993,17,85,1006.7,3.99,1,89.993
1120162,01120162.jpg,1785646647496904704,9.873,0.007,89.993,19,83,989.0,3.49,1,89.993
1120163,01120163.jpg,1785646647531377920,9.875,2.129,87.871,16,68,881.7,4.7,1,87.871
1120164,01120164.jpg,1785646647567710464,9.876,0.006,89.994,18,91,1104.0,3.29,1,89.994
1120165,01120165.jpg,1785646647597888256,9.877,0.006,89.994,22,82,1002.3,3.27,1,89.994
1120166,01120166.jpg,1785646647629898240,9.879,0.006,89.994,18,104,1275.2,3.74,1,89.994
1120167,01120167.jpg,1785646647664094464,9.88,0.005,89.995,14,86,1198.6,3.76,1,89.995
1120168,01120168.jpg,1785646647699848448,9.882,0.005,89.995,23,115,1410.7,3.09,1,89.995
1120169,01120169.jpg,1785646647730379008,9.884,0.005,89.995,16,86,1203.7,3.16,1,89.995
1120170,01120170.jpg,1785646647764570624,9.886,0.005,89.995,18,102,1352.1,3.55,1,89.995
1120171,01120171.jpg,1785646647797465088,9.888,0.004,89.996,18,82,1145.6,3.56,1,89.996
1120172,01120172.jpg,1785646647832163328,9.89,0.005,89.995,26,118,1536.7,3.41,1,89.995
1120173,01120173.jpg,1785646647863416576,9.892,0.004,89.996,24,122,1617.5,3.36,1,89.996
1120174,01120174.jpg,1785646647896564224,9.894,0.003,89.997,19,98,1432.7,3.36,1,89.997
1120175,01120175.jpg,1785646647931386880,9.897,0.005,89.995,27,102,1391.4,6.16,1,89.995
1120176,01120176.jpg,1785646647964411904,9.899,0.003,89.997,21,90,1381.8,4.55,1,89.997
1120177,01120177.jpg,1785646647997305344,9.9,0.004,89.996,17,80,1143.1,7.76,1,89.996
1120178,01120178.jpg,1785646648031375104,9.904,0.004,89.996,24,109,1417.2,6.32,1,89.996
1120179,01120179.jpg,1785646648064032512,9.906,0.003,89.997,18,80,1231.5,6.49,1,89.997
1120180,01120180.jpg,1785646648099761920,9.909,0.003,89.997,19,78,1202.3,5.87,1,89.997
1120181,01120181.jpg,1785646648131243520,9.912,0.002,89.998,19,70,1025.2,8.96,1,89.998
1120182,01120182.jpg,1785646648164244224,34.254,89.989,0.011,19,87,1306.9,4.98,1,90.011
1120183,01120183.jpg,1785646648197417728,15.476,89.989,0.011,15,82,1445.0,7.4,1,90.011
1120184,01120184.jpg,1785646648232251136,9.129,89.99,0.01,14,83,1445.1,5.17,1,90.01
1120185,01120185.jpg,1785646648264537856,8.988,89.991,0.009,14,80,1326.5,4.09,1,90.009
1120186,01120186.jpg,1785646648298231296,9.231,89.992,0.008,22,102,1399.7,4.07,1,90.008
1120187,01120187.jpg,1785646648330537216,9.461,89.992,0.008,18,88,1311.1,3.92,1,90.008
1120188,01120188.jpg,1785646648366320896,9.616,89.992,0.008,17,94,1352.7,3.44,1,90.008
1120189,01120189.jpg,1785646648397956096,10.429,89.992,0.008,17,96,1409.3,2.63,1,90.008
1120190,01120190.jpg,1785646648430855936,10.094,89.993,0.007,14,88,1347.1,2.71,1,90.007
1120191,01120191.jpg,1785646648464229376,9.815,89.993,0.007,21,91,1297.5,2.2,1,90.007
1120192,01120192.jpg,1785646648499964416,9.837,89.991,0.009,17,68,1186.7,2.12,1,90.009
1120193,01120193.jpg,1785646648530560256,9.885,89.992,0.008,8,52,935.5,3.25,1,90.008
1120194,01120194.jpg,1785646648563616768,9.933,89.992,0.008,19,70,1015.9,2.52,1,90.008
1120195,01120195.jpg,1785646648598333696,9.916,89.985,0.015,13,46,731.7,5.69,1,90.015
1120196,01120196.jpg,1785646648633210112,9.902,89.992,0.008,11,60,1011.2,3.09,1,90.008
1120197,01120197.jpg,1785646648664257280,9.851,89.987,0.013,8,41,707.4,2.39,1,90.013
1120198,01120198.jpg,1785646648697801216,9.83,88.09,1.91,6,36,693.8,3.82,1,91.91
1120199,01120199.jpg,1785646648730148096,9.899,89.994,0.006,5,32,659.1,2.28,1,90.006
1120200,01120200.jpg,1785646648766384128,9.92,89.996,0.004,5,34,701.8,2.31,1,90.004
1120201,01120201.jpg,1785646648798181888,9.945,89.998,0.002,5,32,654.2,2.26,1,90.002
1120202,01120202.jpg,1785646648830497280,9.941,87.741,2.259,2,16,320.1,2.26,1,92.259
1120203,01120203.jpg,1785646648864100608,9.927,87.738,2.262,2,10,185.5,2.26,1,92.262
1120204,01120204.jpg,1785646648898519296,9.927,89.999,0.001,16,87,1316.9,4.44,1,90.001
1120205,01120205.jpg,1785646648931559680,9.927,89.999,0.001,23,115,1497.3,5.75,1,90.001
1120206,01120206.jpg,1785646648963688448,9.927,,,0,0,0.0,,0,90.001
1120207,01120207.jpg,1785646648996840448,9.927,,,0,0,0.0,,0,90.001
1120208,01120208.jpg,1785646649033223424,9.812,,,0,0,0.0,,0,90.001
1120209,01120209.jpg,1785646649063833088,9.812,,,0,0,0.0,,0,90.001
1120210,01120210.jpg,1785646649096977920,9.812,0.014,89.986,30,127,1717.5,3.59,1,89.986
1120211,01120211.jpg,1785646649131181056,9.812,0.014,89.986,30,128,1719.6,3.59,1,89.986
1120212,01120212.jpg,1785646649165953536,9.812,0.014,89.986,30,127,1717.5,3.59,1,89.986
1120213,01120213.jpg,1785646649197891584,9.815,0.018,89.982,30,127,1711.2,3.6,1,89.982
1120214,01120214.jpg,1785646649230746112,9.816,0.022,89.978,30,127,1705.2,3.62,1,89.978
1120215,01120215.jpg,1785646649263919872,9.863,0.024,89.976,30,128,1701.2,3.64,1,89.976
1120216,01120216.jpg,1785646649299845120,9.81,0.024,89.976,30,127,1693.0,3.67,1,89.976
1120217,01120217.jpg,1785646649330272000,9.81,0.024,89.976,30,127,1690.0,3.68,1,89.976
1120218,01120218.jpg,1785646649364884992,9.81,0.024,89.976,30,127,1681.0,3.71,1,89.976
1120219,01120219.jpg,1785646649398036736,9.81,0.025,89.975,30,128,1677.3,3.73,1,89.975
1120220,01120220.jpg,1785646649433154304,9.81,0.025,89.975,30,128,1672.9,3.75,1,89.975
1120221,01120221.jpg,1785646649464203776,9.81,0.025,89.975,30,128,1665.8,3.77,1,89.975
1120222,01120222.jpg,1785646649497000960,9.81,0.025,89.975,30,128,1660.3,3.79,1,89.975
1120223,01120223.jpg,1785646649530930432,9.81,0.025,89.975,30,127,1650.1,3.82,1,89.975
