frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
1141377,01141377.jpg,1785647354640047360,9.81,89.982,0.018,19,87,1120.6,0.51,1,0.018
1141378,01141378.jpg,1785647354689477632,9.81,89.982,0.018,20,87,1120.6,0.51,1,0.018
1141379,01141379.jpg,1785647354707197440,9.81,89.982,0.018,20,87,1120.6,0.51,1,0.018
1141380,01141380.jpg,1785647354754893568,9.625,89.967,0.033,19,88,1118.7,0.49,1,0.033
1141381,01141381.jpg,1785647354772198656,9.393,89.965,0.035,19,87,1123.6,0.47,1,0.035
1141382,01141382.jpg,1785647354821871872,9.358,89.966,0.034,19,90,1139.8,0.49,1,0.034
1141383,01141383.jpg,1785647354839498496,9.358,89.966,0.034,19,89,1154.5,0.51,1,0.034
1141384,01141384.jpg,1785647354887481088,9.803,89.976,0.024,27,103,1248.8,0.75,1,0.024
1141385,01141385.jpg,1785647354905324032,9.843,89.977,0.023,29,94,1178.0,1.08,1,0.023
1141386,01141386.jpg,1785647354953817088,9.891,89.979,0.021,32,110,1248.4,1.41,1,0.021
1141387,01141387.jpg,1785647354972554752,9.896,0.452,89.548,28,102,1226.1,1.15,1,-0.452
1141388,01141388.jpg,1785647355020832000,9.901,1.158,88.842,20,80,1072.1,1.19,1,-1.158
1141389,01141389.jpg,1785647355038040320,9.901,1.609,88.391,15,72,1068.2,1.63,1,-1.609
1141390,01141390.jpg,1785647355087533824,9.898,89.979,0.021,22,97,1112.7,2.27,1,0.021
1141391,01141391.jpg,1785647355106393344,9.898,89.979,0.021,24,104,1156.2,2.4,1,0.021
1141392,01141392.jpg,1785647355155003136,9.894,89.981,0.019,19,80,984.8,3.09,1,0.019
1141393,01141393.jpg,1785647355171583488,9.893,89.981,0.019,16,74,985.7,3.0,1,0.019
1141394,01141394.jpg,1785647355221451776,9.889,2.079,87.921,17,78,961.1,2.12,1,-2.079
1141395,01141395.jpg,1785647355238416896,9.888,1.046,88.954,20,80,970.2,2.64,1,-1.046
1141396,01141396.jpg,1785647355287878656,9.885,89.983,0.017,29,119,1259.0,3.5,1,0.017
1141397,01141397.jpg,1785647355305412608,9.884,2.072,87.928,24,96,1095.5,2.11,1,-2.072
1141398,01141398.jpg,1785647355354998784,9.881,2.034,87.966,24,87,966.4,3.7,1,-2.034
1141399,01141399.jpg,1785647355371802368,9.88,89.985,0.015,25,104,1125.9,4.04,1,0.015
1141400,01141400.jpg,1785647355421763072,9.878,89.985,0.015,23,91,1047.2,4.31,1,0.015
1141401,01141401.jpg,1785647355438770688,9.877,0.558,89.442,26,83,934.6,3.93,1,-0.558
1141402,01141402.jpg,1785647355487476480,9.875,89.986,0.014,20,98,1148.1,4.36,1,0.014
1141403,01141403.jpg,1785647355505571328,9.875,1.909,88.091,25,91,1017.4,3.95,1,-1.909
1141404,01141404.jpg,1785647355554897152,9.873,89.987,0.013,18,86,1022.9,4.55,1,0.013
1141405,01141405.jpg,1785647355572210176,9.872,89.987,0.013,22,76,873.3,5.02,1,0.013
1141406,01141406.jpg,1785647355621134592,9.871,89.988,0.012,17,86,991.5,4.79,1,0.012
1141407,01141407.jpg,1785647355638315008,9.871,89.988,0.012,16,74,895.1,5.01,1,0.012
1141408,01141408.jpg,1785647355687469824,9.87,89.989,0.011,25,118,1222.7,4.03,1,0.011
1141409,01141409.jpg,1785647355705290240,9.87,89.989,0.011,28,124,1227.8,3.95,1,0.011
1141410,01141410.jpg,1785647355755261952,9.869,89.989,0.011,15,76,862.7,5.83,1,0.011
