frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
329660,00329660.jpg,1785708475404121088,9.812,58.696,31.304,25,100,2111.7,0.59,1,31.304
329661,00329661.jpg,1785708475437589504,9.81,58.657,31.343,25,101,2121.1,0.56,1,31.343
329662,00329662.jpg,1785708475473304320,9.811,58.693,31.307,25,100,2111.6,0.59,1,31.307
329663,00329663.jpg,1785708475500403200,9.809,58.692,31.308,25,100,2111.6,0.59,1,31.308
329664,00329664.jpg,1785708475535672064,9.809,58.691,31.309,25,100,2111.6,0.58,1,31.309
329665,00329665.jpg,1785708475569238784,9.812,58.69,31.31,25,100,2111.6,0.58,1,31.31
329666,00329666.jpg,1785708475604013568,9.991,58.629,31.371,25,103,2144.7,0.64,1,31.371
329667,00329667.jpg,1785708475638912000,9.963,58.733,31.267,25,105,2131.6,0.63,1,31.267
329668,00329668.jpg,1785708475667054592,9.89,58.735,31.265,24,101,2131.5,0.59,1,31.265
329669,00329669.jpg,1785708475701462272,9.897,58.748,31.252,24,99,2114.5,0.64,1,31.252
329670,00329670.jpg,1785708475736340480,9.908,58.81,31.19,25,103,2144.0,0.65,1,31.19
329671,00329671.jpg,1785708475771604480,9.912,58.671,31.329,24,105,2120.1,0.58,1,31.329
329672,00329672.jpg,1785708475806080000,9.913,58.815,31.185,26,108,2156.9,0.71,1,31.185
329673,00329673.jpg,1785708475833841408,9.914,58.759,31.241,25,106,2149.0,0.79,1,31.241
329674,00329674.jpg,1785708475868055296,9.913,58.759,31.241,23,104,2117.7,0.71,1,31.241
329675,00329675.jpg,1785708475902599680,9.913,58.76,31.24,24,97,2090.2,0.54,1,31.24
329676,00329676.jpg,1785708475937255424,9.912,58.686,31.314,25,101,2123.3,0.73,1,31.314
329677,00329677.jpg,1785708475971869952,9.911,58.7,31.3,25,104,2142.3,0.69,1,31.3
329678,00329678.jpg,1785708476000146176,9.911,58.927,31.073,27,106,2127.9,0.7,1,31.073
329679,00329679.jpg,1785708476035450880,9.91,58.9,31.1,26,104,2119.4,0.69,1,31.1
329680,00329680.jpg,1785708476070010112,9.91,58.945,31.055,25,100,2106.0,0.61,1,31.055
329681,00329681.jpg,1785708476104803584,9.909,58.93,31.07,26,105,2139.2,0.72,1,31.07
329682,00329682.jpg,1785708476139520768,9.908,58.881,31.119,27,104,2126.9,0.69,1,31.119
329683,00329683.jpg,1785708476167908608,9.908,58.792,31.208,26,100,2116.2,0.7,1,31.208
329684,00329684.jpg,1785708476202358272,9.907,58.657,31.343,25,100,2108.7,0.55,1,31.343
329685,00329685.jpg,1785708476235926016,9.906,58.405,31.595,25,103,2106.1,0.6,1,31.595
329686,00329686.jpg,1785708476271759104,9.906,58.441,31.559,27,104,2129.0,0.55,1,31.559
329687,00329687.jpg,1785708476306395904,9.905,58.415,31.585,26,102,2138.3,0.61,1,31.585
329688,00329688.jpg,1785708476333100800,9.905,58.59,31.41,25,104,2125.4,0.61,1,31.41
329689,00329689.jpg,1785708476368146432,9.904,58.446,31.554,25,99,2118.7,0.74,1,31.554
329690,00329690.jpg,1785708476402900224,9.903,58.399,31.601,24,102,2128.6,0.63,1,31.601
