t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785523695958794300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696061511000,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696082671800,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696102855800,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696122999000,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696142713600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696163383300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696182544800,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696203301100,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696222549000,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696242756200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696262480700,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696283326000,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696302650000,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696323002400,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696342743100,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696363008800,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696382495200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696406117700,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696426616100,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696446036500,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696466451600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696486280800,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696505774100,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696525643600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696546732400,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696565814500,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696586503200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696606034700,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696626325700,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696646587500,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696666420500,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696686319600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696706365400,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696726560200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696745764600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696765725300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696785752300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696806163000,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696825642100,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696846659300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696865705200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696887223200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696906209000,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696925740900,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696946090700,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696966764300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523696986972600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697005684200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697026542500,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697045883300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697066014300,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697086224600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697106186700,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697126310700,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697146222900,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697165668900,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697185730500,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697206520200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697225666600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697246536200,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697266277600,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697286430400,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697306769500,1,0.0000,-0.0,-0.0,0.0,0.0
1785523697326561200,1,0.0000,-0.0,-0.0,0.0,0.0
