t_wall_ns,what,threat_level,impulse,episode
1785523703044069400,environment,1,0.01001040544360876,1
1785523703044069400,environment,1,0.006188604515045881,1
1785523703044069400,environment,1,0.009911543689668179,1
1785523703044069400,environment,1,0.0061517683789134026,1
1785523703063378500,environment,1,0.00961250439286232,1
1785523703063378500,environment,1,0.005948877427726984,1
1785523703063378500,environment,1,0.009627829305827618,1
1785523703063378500,environment,1,0.006049724295735359,1
1785523703063378500,environment,1,0.009347409941256046,1
1785523703063378500,environment,1,0.005831197369843721,1
1785523703076263900,environment,1,0.009130521677434444,1
1785523703076263900,environment,1,0.005491991993039846,1
1785523703076263900,environment,1,0.008861217647790909,1
1785523703076263900,environment,1,0.005321579985320568,1
1785523703096873900,environment,1,0.006864892318844795,1
1785523703096873900,environment,1,0.006429995875805616,1
1785523703096873900,environment,1,0.007682646159082651,1
1785523703096873900,environment,1,0.004782877396792173,1
1785523703096873900,environment,1,0.005235129967331886,1
1785523703096873900,environment,1,0.006827563978731632,1
1785523703111209100,environment,1,0.0052585541270673275,1
1785523703111209100,environment,1,0.005431978963315487,1
1785523703111209100,environment,1,0.005289895460009575,1
1785523703111209100,environment,1,0.0047919973731040955,1
1785523703130281200,environment,1,0.00547518115490675,1
1785523703130281200,environment,1,0.0034760867711156607,1
1785523703130281200,environment,1,0.005561487749218941,1
1785523703130281200,environment,1,0.0033006819430738688,1
1785523703130281200,environment,1,0.004743203986436129,1
1785523703130281200,environment,1,0.0028264301363378763,1
1785523703143346300,environment,1,0.0042720092460513115,1
1785523703143346300,environment,1,0.002536931075155735,1
1785523703143346300,environment,1,0.00369221530854702,1
1785523703143346300,environment,1,0.0022600938100367785,1
1785523703164094300,environment,1,0.003525019157677889,1
1785523703164094300,environment,1,0.0020488572772592306,1
1785523703164094300,environment,1,0.0025181230157613754,1
1785523703164094300,environment,1,0.0014799319906160235,1
1785523703164094300,environment,1,0.002245449461042881,1
1785523703164094300,environment,1,0.001320247887633741,1
1785523703177214200,environment,1,0.0021801008842885494,1
1785523703177214200,environment,1,0.001285240170545876,1
1785523703177214200,environment,1,0.0012116635916754603,1
1785523703177214200,environment,1,0.0007096888730302453,1
1785523703196615700,environment,1,0.00032505556009709835,1
1785523703196615700,environment,1,0.0001844049693318084,1
1785523703196615700,environment,1,0.00010610409663058817,1
1785523741628576200,environment,2,7.771266937255859,2
1785523741874997400,environment,1,0.0396014079451561,2
1785523741895099000,environment,1,0.5387110114097595,2
1785523741895099000,environment,1,0.19696705043315887,2
1785523741895099000,environment,1,0.016840392723679543,2
1785523741928277100,environment,1,0.004591882228851318,2
1785523741928277100,environment,1,0.015650302171707153,2
1785523741928277100,environment,1,0.016071626916527748,2
1785523741942700200,environment,1,0.01820450834929943,2
1785523741942700200,environment,1,0.0248471200466156,2
1785523741960993600,environment,1,0.029393820092082024,2
1785523742409150400,environment,2,1.6063954830169678,2
1785523742461576300,environment,1,0.020876800641417503,2
1785523742461576300,environment,1,0.08286913484334946,2
