t_wall_ns,sim_boot_time_ms,race_start_boot_time_ms,race_finish_time_ns,active_gate_index,last_gate_race_time
1785523695755450800,14273,3300,-1,0,-1
1785523696001336800,14524,3300,-1,0,-1
1785523696251783900,14774,3300,-1,0,-1
1785523696502467100,15025,3300,-1,0,-1
1785523696753982500,15277,3300,-1,0,-1
1785523697005684200,15527,3300,-1,0,-1
1785523697254895100,15777,3300,-1,0,-1
1785523697505998200,16028,3300,-1,0,-1
1785523697756669500,16279,3300,-1,0,-1
1785523698007061400,16529,3300,-1,0,-1
1785523698258997200,16780,3300,-1,0,-1
1785523698509272200,17030,3300,-1,0,-1
1785523698759837200,17281,3300,-1,0,-1
1785523699022265000,17531,3300,-1,0,-1
1785523699259961800,17783,3300,-1,0,-1
1785523699510487900,18033,3300,-1,0,-1
1785523699763663600,18285,3300,-1,0,-1
1785523700014733000,18536,3300,-1,0,-1
1785523700264578800,18787,3300,-1,0,-1
1785523700515236600,19038,3300,-1,0,-1
1785523700765718700,19288,3300,-1,0,-1
1785523701016790200,19538,3300,-1,0,-1
1785523701266088800,19789,3300,-1,0,-1
1785523701516127100,20039,3300,-1,0,-1
1785523701766633000,20289,3300,-1,0,-1
1785523702017587800,20540,3300,-1,0,-1
1785523702269003500,20792,3300,-1,0,-1
1785523702519347800,21042,3300,-1,0,-1
1785523702770337700,21293,3300,-1,0,-1
1785523703022682600,21544,3300,-1,0,-1
1785523703273972000,21795,3300,-1,0,-1
1785523703524117100,22045,3300,-1,0,-1
1785523703775272400,22296,3300,-1,0,-1
1785523704025330500,22548,3300,-1,0,-1
1785523704276498500,22799,3300,-1,0,-1
1785523704528940800,23050,3300,-1,0,-1
1785523704779443600,23300,3300,-1,0,-1
1785523705028930200,23552,3300,-1,0,-1
1785523705279784400,23802,3300,-1,0,-1
1785523705530788600,24053,3300,-1,0,-1
1785523705783262200,24304,3300,-1,0,-1
1785523706034787700,24556,3300,-1,0,-1
1785523706284027300,24806,3300,-1,0,-1
1785523706536675700,25058,3300,-1,0,-1
1785523706786393900,25309,3300,-1,0,-1
1785523707036529800,25559,3300,-1,0,-1
1785523707288211300,25810,3300,-1,0,-1
1785523707540153600,26061,3300,-1,0,-1
1785523707789711200,26312,3300,-1,0,-1
1785523708040663600,26563,3300,-1,0,-1
1785523708292162900,26815,3300,-1,0,-1
1785523708543277500,27065,3300,-1,0,-1
1785523708793746900,27316,3300,-1,0,-1
1785523709044397100,27567,3300,-1,0,-1
1785523709294581300,27817,3300,-1,0,-1
1785523709546092000,28069,3300,-1,0,-1
1785523709796786700,28319,3300,-1,0,-1
1785523710047538500,28570,3300,-1,0,-1
1785523710299850300,28821,3300,-1,0,-1
1785523710551400400,29073,3300,-1,0,-1
1785523710802574700,29324,3300,-1,0,-1
1785523711052910600,29574,3300,-1,0,-1
