t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785545321876535100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545321954050200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545321974819800,1,0.0000,-0.0,-0.0,0.0,0.0
1785545321994996400,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322014131800,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322034897400,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322054200500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322074558000,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322094141700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322114595500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322134591100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322154703500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322174835300,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322194715500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322214248200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322234952200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322254475000,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322274243100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322294439200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322314643900,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322334724600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322354205100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322374680600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322394656800,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322413938400,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322434671200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322454229100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322474659700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322493891900,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322513857300,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322534035000,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322554777000,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322574047600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322594555900,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322614755500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322634738100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322655041900,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322674460800,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322694799500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322715145900,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322734102900,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322754458600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322773931200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322794699100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322814184900,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322834384000,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322854393500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322874678100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322893925500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322914456600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322934373500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322954600000,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322974503200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545322993947600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323014813200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323034705500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323053946600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323074379700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323094230800,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323114669700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323134465800,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323154294600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323174308600,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323193971000,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323214912700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323234630200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323254627100,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323274063200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323294323400,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323314111400,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323334841800,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323354291700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323374433300,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323394845700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323414281700,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323434903500,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323454139200,1,0.0000,-0.0,-0.0,0.0,0.0
1785545323474097100,1,0.0000,-0.0,-0.0,0.0,0.0
