t_wall_ns,sim_boot_time_ms,race_start_boot_time_ms,race_finish_time_ns,active_gate_index,last_gate_race_time
1785545321707219700,69237,3300,-1,0,-1
1785545321950024600,69488,3300,-1,0,-1
1785545322201099900,69739,3300,-1,0,-1
1785545322453699600,69990,3300,-1,0,-1
1785545322704538700,70241,3300,-1,0,-1
1785545322954600000,70491,3300,-1,0,-1
1785545323206359800,70743,3300,-1,0,-1
1785545323455145400,70993,3300,-1,0,-1
1785545323706415400,71244,3300,-1,0,-1
1785545323956651200,71495,3300,-1,0,-1
1785545324208803500,71745,3300,-1,0,-1
1785545324458005600,71996,3300,-1,0,-1
1785545324709021200,72247,3300,-1,0,-1
1785545324960713100,72497,3300,-1,0,-1
1785545325211280300,72748,3300,-1,0,-1
1785545325459868300,72998,3300,-1,0,-1
1785545325710623600,73249,3300,-1,0,-1
1785545325962437600,73499,3300,-1,0,-1
1785545326212221800,73749,3300,-1,0,-1
1785545326461450500,73999,3300,-1,0,-1
1785545326712750600,74250,3300,-1,0,-1
1785545326961788400,74500,3300,-1,0,-1
1785545327212548200,74751,3300,-1,0,-1
1785545327464578300,75001,3300,-1,0,-1
1785545327713663300,75252,3300,-1,0,-1
1785545327966065300,75502,3300,-1,0,-1
1785545328214894400,75753,3300,-1,0,-1
1785545328465115200,76003,3300,-1,0,-1
1785545328716425800,76253,3300,-1,0,-1
1785545328968370300,76505,3300,-1,0,-1
1785545329217957900,76756,3300,-1,0,-1
1785545329470865900,77007,3300,-1,0,-1
1785545329720501000,77259,3300,-1,0,-1
1785545329970778200,77509,3300,-1,0,-1
1785545330222105700,77759,3300,-1,0,-1
1785545330472177300,78009,3300,-1,0,-1
1785545330721341800,78259,3300,-1,0,-1
1785545330972517400,78511,3300,-1,0,-1
1785545331224276000,78761,3300,-1,0,-1
1785545331474201300,79012,3300,-1,0,-1
1785545331725623300,79264,3300,-1,0,-1
1785545331975812600,79514,3300,-1,0,-1
1785545332227305000,79765,3300,-1,0,-1
1785545332477481700,80016,3300,-1,0,-1
1785545332728992300,80267,3300,-1,0,-1
1785545332980427900,80518,3300,-1,0,-1
1785545333230540800,80768,3300,-1,0,-1
1785545333481333700,81019,3300,-1,0,-1
1785545333731802900,81270,3300,-1,0,-1
1785545333982118000,81520,3300,-1,0,-1
1785545334234001100,81772,3300,-1,0,-1
1785545334485269500,82023,3300,-1,0,-1
1785545334735681500,82274,3300,-1,0,-1
1785545334988288700,82525,3300,-1,0,-1
1785545335236861800,82775,3300,-1,0,-1
1785545335488460500,83027,3300,-1,1,79695175170
1785545335741392300,83278,3300,-1,1,79695175170
1785545335991354300,83529,3300,-1,1,79695175170
1785545336242006500,83779,3300,-1,1,79695175170
1785545336492071500,84029,3300,-1,1,79695175170
1785545336742089000,84280,3300,-1,1,79695175170
1785545336995174400,84532,3300,-1,1,79695175170
1785545337244136700,84782,3300,-1,1,79695175170
1785545337494224900,85032,3300,-1,1,79695175170
1785545337746443500,85283,3300,-1,1,79695175170
1785545337995805700,85534,3300,-1,1,79695175170
1785545338246704600,85785,3300,-1,1,79695175170
1785545338497109100,86035,3300,-1,1,79695175170
1785545338748683700,86287,3300,-1,1,79695175170
1785545338999240100,86537,3300,-1,1,79695175170
1785545339250266700,86788,3300,-1,1,79695175170
1785545339501428000,87039,3300,-1,1,79695175170
1785545339751720100,87290,3300,-1,1,79695175170
1785545340003581100,87540,3300,-1,1,79695175170
1785545340254858000,87791,3300,-1,1,79695175170
1785545340504147800,88042,3300,-1,1,79695175170
1785545340754181300,88292,3300,-1,1,79695175170
1785545341004241300,88542,3300,-1,1,79695175170
1785545341254682300,88793,3300,-1,1,79695175170
1785545341505792300,89044,3300,-1,1,79695175170
1785545341756195300,89294,3300,-1,1,79695175170
1785545342007325700,89545,3300,-1,1,79695175170
1785545342259018000,89796,3300,-1,1,79695175170
1785545342507862600,90046,3300,-1,1,79695175170
1785545342760974000,90298,3300,-1,1,79695175170
1785545343010955000,90549,3300,-1,1,79695175170
1785545343261918600,90800,3300,-1,1,79695175170
1785545343514796700,91051,3300,-1,1,79695175170
1785545343763620500,91302,3300,-1,1,79695175170
1785545344013931900,91552,3300,-1,1,79695175170
1785545344265407400,91804,3300,-1,1,79695175170
1785545344516002700,92054,3300,-1,1,79695175170
1785545344766131400,92304,3300,-1,1,79695175170
1785545345017363000,92555,3300,-1,1,79695175170
1785545345267958200,92806,3300,-1,1,79695175170
1785545345519111800,93057,3300,-1,1,79695175170
1785545345772193100,93309,3300,-1,2,89861030578
1785545346021936300,93559,3300,-1,2,89861030578
1785545346272750100,93809,3300,-1,2,89861030578
1785545346521967300,94060,3300,-1,2,89861030578
1785545346773206500,94311,3300,-1,2,89861030578
1785545347023680400,94562,3300,-1,2,89861030578
1785545347274184100,94812,3300,-1,2,89861030578
1785545347525537700,95064,3300,-1,2,89861030578
1785545347775863100,95314,3300,-1,2,89861030578
1785545348027575000,95566,3300,-1,2,89861030578
1785545348277950300,95816,3300,-1,2,89861030578
1785545348530580000,96067,3300,-1,2,89861030578
1785545348779736300,96318,3300,-1,2,89861030578
1785545349030348300,96569,3300,-1,2,89861030578
1785545349282023200,96819,3300,-1,2,89861030578
1785545349531615100,97069,3300,-1,2,89861030578
1785545349782374400,97319,3300,-1,2,89861030578
1785545350032139200,97570,3300,-1,2,89861030578
1785545350283880100,97822,3300,-1,2,89861030578
1785545350535670200,98073,3300,-1,2,89861030578
1785545350786765700,98323,3300,-1,2,89861030578
1785545351035700800,98574,3300,-1,2,89861030578
1785545351287511400,98824,3300,-1,2,89861030578
1785545351537271000,99075,3300,-1,2,89861030578
1785545351788316800,99327,3300,-1,2,89861030578
1785545352040846500,99578,3300,-1,2,89861030578
1785545352290319800,99829,3300,-1,2,89861030578
1785545352540745800,100079,3300,-1,2,89861030578
1785545352791160100,100329,3300,-1,2,89861030578
1785545353043778100,100580,3300,-1,2,89861030578
1785545353293463700,100831,3300,-1,2,89861030578
1785545353542586000,101081,3300,-1,2,89861030578
1785545353794006000,101332,3300,-1,2,89861030578
1785545354045869800,101583,3300,-1,2,89861030578
1785545354295892300,101833,3300,-1,2,89861030578
1785545354545624000,102083,3300,-1,2,89861030578
1785545354796378300,102335,3300,-1,2,89861030578
1785545355047031100,102585,3300,-1,2,89861030578
1785545355298784300,102835,3300,-1,2,89861030578
1785545355548417300,103087,3300,-1,2,89861030578
1785545355798484600,103337,3300,-1,2,89861030578
1785545356050256000,103589,3300,-1,2,89861030578
1785545356301622600,103839,3300,-1,2,89861030578
1785545356551934100,104089,3300,-1,2,89861030578
1785545356802265100,104341,3300,-1,2,89861030578
1785545357053773300,104592,3300,-1,2,89861030578
1785545357304961800,104843,3300,-1,2,89861030578
1785545357555825900,105094,3300,-1,3,101659492492
1785545357808560800,105345,3300,-1,3,101659492492
1785545358058138900,105596,3300,-1,3,101659492492
1785545358309012100,105847,3300,-1,3,101659492492
1785545358560545400,106099,3300,-1,3,101659492492
1785545358810598800,106349,3300,-1,3,101659492492
1785545359061895000,106600,3300,-1,3,101659492492
1785545359314770800,106852,3300,-1,3,101659492492
1785545359566402300,107103,3300,-1,3,101659492492
1785545359815854500,107354,3300,-1,3,101659492492
1785545360065961300,107604,3300,-1,3,101659492492
1785545360317609000,107856,3300,-1,3,101659492492
1785545360568538100,108107,3300,-1,3,101659492492
1785545360821127500,108358,3300,-1,3,101659492492
1785545361070872000,108609,3300,-1,3,101659492492
1785545361321768100,108859,3300,-1,3,101659492492
1785545361572231500,109111,3300,-1,3,101659492492
1785545361823154900,109361,3300,-1,3,101659492492
1785545362074367900,109612,3300,-1,3,101659492492
1785545362324425400,109863,3300,-1,3,101659492492
1785545362575976900,110114,3300,-1,3,101659492492
1785545362826828900,110365,3300,-1,3,101659492492
1785545363077658700,110616,3300,-1,3,101659492492
1785545363329081500,110867,3300,-1,3,101659492492
1785545363579156100,111117,3300,-1,3,101659492492
1785545363830145300,111368,3300,-1,3,101659492492
1785545364081079900,111619,3300,-1,3,101659492492
1785545364331295300,111869,3300,-1,3,101659492492
1785545364582426200,112121,3300,-1,3,101659492492
1785545364833554000,112372,3300,-1,3,101659492492
1785545365084543700,112623,3300,-1,3,101659492492
1785545365337610100,112874,3300,-1,3,101659492492
1785545365588855000,113126,3300,-1,3,101659492492
1785545365838944600,113377,3300,-1,3,101659492492
1785545366090284200,113629,3300,-1,3,101659492492
1785545366342000800,113879,3300,-1,3,101659492492
1785545366591276100,114129,3300,-1,3,101659492492
1785545366842365800,114381,3300,-1,3,101659492492
1785545367093573600,114632,3300,-1,3,101659492492
1785545367345190300,114882,3300,-1,3,101659492492
1785545367593992500,115132,3300,-1,3,101659492492
1785545367845210000,115383,3300,-1,3,101659492492
1785545368095994100,115634,3300,-1,3,101659492492
1785545368347118100,115884,3300,-1,3,101659492492
1785545368597826600,116135,3300,-1,3,101659492492
1785545368847478700,116386,3300,-1,3,101659492492
1785545369099595500,116636,3300,-1,3,101659492492
1785545369349689300,116886,3300,-1,3,101659492492
1785545369598255400,117137,3300,-1,3,101659492492
1785545369849754800,117388,3300,-1,3,101659492492
1785545370101741000,117639,3300,-1,3,101659492492
1785545370350445700,117889,3300,-1,3,101659492492
1785545370602012700,118140,3300,-1,3,101659492492
1785545370854671900,118392,3300,-1,3,101659492492
1785545371104037800,118642,3300,-1,3,101659492492
1785545371354655800,118893,3300,-1,3,101659492492
1785545371605321900,119144,3300,-1,3,101659492492
1785545371855995900,119394,3300,-1,3,101659492492
1785545372108343600,119645,3300,-1,3,101659492492
1785545372357269400,119896,3300,-1,3,101659492492
1785545372608916800,120147,3300,-1,3,101659492492
1785545372860185800,120399,3300,-1,3,101659492492
1785545373110902000,120649,3300,-1,3,101659492492
1785545373361738800,120899,3300,-1,3,101659492492
1785545373611203500,121150,3300,-1,3,101659492492
1785545373861727500,121400,3300,-1,3,101659492492
1785545374114165500,121653,3300,-1,3,101659492492
1785545374365879800,121904,3300,-1,4,118394462585
1785545374616047500,122154,3300,-1,4,118394462585
1785545374867289500,122406,3300,-1,4,118394462585
1785545375118542100,122657,3300,-1,4,118394462585
1785545375369157500,122908,3300,-1,4,118394462585
1785545375621732400,123159,3300,-1,4,118394462585
1785545375871140800,123409,3300,-1,4,118394462585
1785545376122242000,123661,3300,-1,4,118394462585
1785545376373413200,123912,3300,-1,4,118394462585
1785545376625880600,124163,3300,-1,4,118394462585
1785545376875547700,124413,3300,-1,4,118394462585
1785545377126304000,124663,3300,-1,4,118394462585
1785545377377074100,124914,3300,-1,4,118394462585
1785545377626541400,125165,3300,-1,4,118394462585
1785545377877392500,125416,3300,-1,4,118394462585
1785545378128731700,125667,3300,-1,4,118394462585
1785545378379513500,125918,3300,-1,4,118394462585
1785545378629595300,126168,3300,-1,4,118394462585
1785545378881462300,126418,3300,-1,4,118394462585
1785545379130215300,126669,3300,-1,4,118394462585
1785545379381675600,126919,3300,-1,4,118394462585
1785545379630798400,127169,3300,-1,4,118394462585
1785545379881148100,127420,3300,-1,4,118394462585
1785545380131763700,127670,3300,-1,4,118394462585
1785545380383409700,127920,3300,-1,4,118394462585
1785545380633423300,128172,3300,-1,4,118394462585
1785545380884795300,128423,3300,-1,4,118394462585
1785545381136055900,128675,3300,-1,4,118394462585
1785545381386698000,128925,3300,-1,4,118394462585
1785545381637499400,129176,3300,-1,4,118394462585
1785545381890365000,129427,3300,-1,4,118394462585
1785545382140642700,129679,3300,-1,4,118394462585
1785545382391357600,129930,3300,-1,4,118394462585
1785545382642343400,130181,3300,-1,4,118394462585
1785545382892924000,130431,3300,-1,4,118394462585
1785545383144569500,130682,3300,-1,4,118394462585
1785545383394607700,130932,3300,-1,4,118394462585
1785545383644233100,131183,3300,-1,4,118394462585
1785545383895288600,131433,3300,-1,4,118394462585
1785545384145963000,131685,3300,-1,4,118394462585
1785545384396899700,131935,3300,-1,4,118394462585
1785545384648750500,132186,3300,-1,4,118394462585
1785545384898806800,132437,3300,-1,4,118394462585
1785545385151622900,132689,3300,-1,4,118394462585
1785545385401500400,132939,3300,-1,4,118394462585
1785545385651067400,133189,3300,-1,4,118394462585
1785545385901641200,133439,3300,-1,4,118394462585
1785545386151451600,133690,3300,-1,4,118394462585
1785545386401549900,133940,3300,-1,4,118394462585
1785545386652634900,134191,3300,-1,4,118394462585
1785545386905354900,134442,3300,-1,4,118394462585
1785545387155903000,134693,3300,-1,4,118394462585
1785545387405026700,134944,3300,-1,4,118394462585
1785545387656983800,135194,3300,-1,4,118394462585
1785545387905864900,135444,3300,-1,4,118394462585
1785545388157093300,135696,3300,-1,4,118394462585
1785545388407181600,135946,3300,-1,4,118394462585
1785545388657497000,136196,3300,-1,4,118394462585
1785545388907937100,136447,3300,-1,4,118394462585
1785545389158095700,136697,3300,-1,4,118394462585
1785545389409028500,136948,3300,-1,4,118394462585
1785545389660591600,137198,3300,-1,4,118394462585
1785545389910961200,137449,3300,-1,4,118394462585
1785545390160675000,137699,3300,-1,4,118394462585
1785545390411383500,137949,3300,-1,4,118394462585
1785545390661605600,138199,3300,-1,4,118394462585
1785545390911875500,138449,3300,-1,4,118394462585
1785545391162518800,138701,3300,-1,4,118394462585
1785545391412695000,138951,3300,-1,4,118394462585
1785545391665344900,139202,3300,-1,4,118394462585
1785545391914190200,139453,3300,-1,4,118394462585
1785545392164870700,139704,3300,-1,4,118394462585
1785545392415572100,139954,3300,-1,4,118394462585
1785545392665567500,140204,3300,-1,4,118394462585
1785545392916729100,140454,3300,-1,4,118394462585
1785545393166696200,140705,3300,-1,4,118394462585
1785545393417367400,140956,3300,-1,4,118394462585
1785545393669978200,141207,3300,-1,4,118394462585
1785545393918487600,141457,3300,-1,4,118394462585
1785545394169901200,141709,3300,-1,4,118394462585
1785545394420980100,141959,3300,-1,4,118394462585
1785545394671765000,142210,3300,-1,4,118394462585
1785545394921797300,142460,3300,-1,4,118394462585
1785545395173013800,142712,3300,-1,4,118394462585
1785545395425806900,142963,3300,-1,4,118394462585
1785545395675913900,143215,3300,-1,4,118394462585
1785545395926768100,143465,3300,-1,4,118394462585
1785545396177306000,143716,3300,-1,4,118394462585
1785545396428222100,143967,3300,-1,4,118394462585
1785545396678660900,144217,3300,-1,4,118394462585
1785545396930049300,144469,3300,-1,4,118394462585
1785545397181630600,144720,3300,-1,4,118394462585
1785545397432366300,144971,3300,-1,4,118394462585
1785545397683769300,145222,3300,-1,4,118394462585
